Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1895,-999.0,0.0,4.0,6.0,98.0,371.0,63.0,0.0,0.0,0.0,-999.0,67.0,337.0,30.0,21.0,31.0,0.0,0.0,92.0,5.0,254.0,91.0,230.0,22.0,0.0,692.0,1.0,376.0,87.0,189.0,22.0,70.0,56.0,66.0,30.0,0.0,427.0,44.0,79.0,0.0,243.0,0.0,0.0,373.0,6.0,251.0,424.0,129.0,26.0,586.0
1896,-999.0,0.0,1.0,1.0,51.0,190.0,92.0,12.0,0.0,0.0,-999.0,68.0,207.0,44.0,35.0,18.0,8.0,0.0,112.0,11.0,295.0,109.0,189.0,17.0,0.0,476.0,3.0,267.0,83.0,194.0,37.0,20.0,33.0,80.0,47.0,0.0,338.0,60.0,102.0,0.0,165.0,3.0,0.0,252.0,9.0,258.0,373.0,114.0,25.0,372.0
1897,-999.0,0.0,3.0,4.0,71.0,253.0,143.0,26.0,0.0,0.0,-999.0,98.0,275.0,66.0,54.0,17.0,7.0,0.0,191.0,27.0,408.0,197.0,274.0,21.0,0.0,555.0,1.0,315.0,96.0,304.0,72.0,46.0,58.0,144.0,88.0,0.0,387.0,105.0,178.0,0.0,226.0,0.0,0.0,349.0,9.0,338.0,407.0,211.0,35.0,438.0
1898,-999.0,0.0,3.0,1.0,72.0,189.0,44.0,2.0,0.0,0.0,-999.0,56.0,213.0,34.0,19.0,16.0,0.0,0.0,86.0,0.0,261.0,94.0,210.0,11.0,0.0,502.0,1.0,285.0,59.0,158.0,17.0,36.0,40.0,45.0,20.0,0.0,342.0,25.0,77.0,0.0,152.0,0.0,0.0,233.0,3.0,196.0,347.0,128.0,14.0,339.0
1899,-999.0,0.0,2.0,2.0,115.0,245.0,51.0,0.0,0.0,0.0,-999.0,51.0,390.0,30.0,13.0,18.0,0.0,0.0,70.0,0.0,269.0,92.0,177.0,10.0,0.0,668.0,1.0,289.0,65.0,172.0,11.0,36.0,78.0,43.0,20.0,0.0,554.0,27.0,61.0,0.0,180.0,0.0,0.0,367.0,1.0,210.0,541.0,111.0,12.0,487.0
1900,-999.0,0.0,2.0,1.0,82.0,181.0,41.0,0.0,0.0,3.0,-999.0,50.0,238.0,44.0,24.0,13.0,3.0,0.0,62.0,4.0,215.0,109.0,148.0,11.0,0.0,493.0,2.0,161.0,43.0,142.0,13.0,27.0,48.0,38.0,29.0,0.0,377.0,23.0,61.0,0.0,103.0,0.0,0.0,238.0,4.0,195.0,404.0,122.0,14.0,284.0
1901,-999.0,0.0,0.0,3.0,80.0,188.0,45.0,6.0,0.0,0.0,-999.0,31.0,344.0,25.0,14.0,3.0,1.0,0.0,64.0,5.0,214.0,85.0,151.0,0.0,0.0,602.0,2.0,244.0,37.0,123.0,17.0,32.0,61.0,40.0,24.0,0.0,485.0,31.0,65.0,0.0,133.0,0.0,0.0,277.0,6.0,165.0,534.0,91.0,17.0,395.0
1902,-999.0,0.0,1.0,1.0,91.0,238.0,137.0,13.0,0.0,0.0,-999.0,152.0,355.0,114.0,68.0,36.0,8.0,0.0,208.0,14.0,467.0,229.0,305.0,35.0,0.0,728.0,2.0,400.0,135.0,382.0,61.0,31.0,55.0,147.0,92.0,1.0,460.0,92.0,184.0,0.0,259.0,0.0,0.0,303.0,13.0,460.0,467.0,249.0,53.0,479.0
1903,-999.0,5.0,23.0,3.0,96.0,345.0,269.0,56.0,0.0,6.0,-999.0,161.0,252.0,138.0,102.0,77.0,33.0,0.0,324.0,54.0,549.0,260.0,350.0,68.0,2.0,599.0,16.0,350.0,149.0,499.0,137.0,75.0,56.0,251.0,121.0,17.0,428.0,146.0,304.0,3.0,236.0,22.0,1.0,267.0,40.0,541.0,436.0,270.0,79.0,461.0
1904,-999.0,0.0,7.0,3.0,74.0,375.0,109.0,12.0,0.0,0.0,-999.0,134.0,298.0,112.0,72.0,48.0,7.0,0.0,166.0,16.0,359.0,200.0,334.0,47.0,0.0,582.0,4.0,406.0,133.0,271.0,49.0,63.0,48.0,107.0,81.0,3.0,370.0,76.0,166.0,0.0,254.0,2.0,0.0,340.0,13.0,330.0,416.0,241.0,44.0,519.0
