Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1895,-999.0,50.4,45.38,11.41,22.88,19.62,43.39,36.56,51.99,50.12,-999.0,26.33,19.79,31.15,30.5,26.81,39.26,52.01,42.85,35.52,36.23,24.77,22.67,41.35,49.4,17.47,49.77,15.64,18.95,41.56,36.86,16.53,9.2,34.93,28.29,30.81,30.05,33.09,44.78,48.32,16.43,43.54,28.02,11.93,38.76,37.72,35.76,23.24,35.15,16.48
1896,-999.0,46.16,38.52,12.19,29.51,16.02,43.62,39.5,50.34,44.69,-999.0,36.78,29.69,35.95,40.86,27.62,43.21,46.64,41.92,36.93,42.0,32.28,30.84,40.77,46.28,22.05,47.77,22.58,25.49,41.12,42.57,13.13,10.92,38.79,40.78,23.09,42.05,39.99,44.31,45.85,21.34,48.34,22.25,11.84,42.09,36.82,49.17,32.32,43.0,17.36
1897,-999.0,48.36,44.92,11.7,21.95,21.66,54.98,45.03,57.0,48.34,-999.0,26.23,26.01,35.71,39.3,24.83,48.28,51.93,49.72,44.76,43.51,31.6,27.3,41.03,47.95,21.47,45.24,15.6,22.74,50.93,51.35,17.44,11.78,41.63,39.58,29.43,34.93,41.83,49.43,46.71,18.83,51.27,23.32,16.15,40.71,50.25,50.58,28.32,44.17,14.18
1898,-999.0,48.84,56.01,10.6,12.47,16.91,57.26,41.82,53.69,55.16,-999.0,30.09,18.25,46.79,45.52,31.15,52.68,64.47,53.89,40.93,46.1,31.71,23.91,54.57,53.89,19.99,49.86,16.37,20.02,46.64,50.99,14.78,8.94,45.02,44.68,38.61,24.52,45.38,60.18,48.54,15.1,51.29,24.63,11.28,45.59,42.75,35.08,27.02,48.68,14.26
1899,-999.0,48.39,41.46,7.56,24.81,16.55,43.39,39.67,51.51,44.22,-999.0,28.46,23.92,32.56,34.51,25.56,46.7,43.48,40.5,42.28,35.27,30.56,29.48,37.89,43.78,20.92,53.25,16.43,19.23,35.71,43.81,12.02,10.72,34.88,34.95,32.68,36.72,40.62,43.87,46.77,19.0,49.79,25.44,12.6,43.83,36.26,52.08,31.66,42.86,18.41
1900,-999.0,65.85,47.5,8.1,20.05,14.72,48.03,39.83,61.66,56.04,-999.0,35.44,21.42,35.29,36.62,27.03,44.94,66.35,47.73,38.0,49.89,32.54,27.65,39.49,65.64,17.59,48.45,17.98,22.46,48.16,41.8,14.82,8.74,40.28,33.97,32.53,30.02,37.85,46.39,50.63,19.47,53.14,35.04,9.49,40.14,43.63,45.41,36.93,40.22,13.19
1901,-999.0,57.09,35.61,9.22,22.44,15.81,62.17,42.88,58.46,56.6,-999.0,24.5,22.05,25.53,30.57,20.98,36.92,47.55,51.37,44.59,44.85,27.86,24.49,25.6,50.24,18.87,62.61,18.37,22.46,45.92,51.61,13.3,11.22,43.77,33.48,22.48,30.6,46.67,54.32,55.24,20.68,47.89,18.7,11.17,51.98,40.74,42.07,26.46,49.74,15.35
1902,-999.0,50.34,52.91,8.65,24.82,15.94,53.41,50.72,52.49,51.31,-999.0,43.79,22.94,42.79,40.9,33.62,45.14,47.37,46.15,48.08,46.92,31.86,27.17,45.58,49.79,19.25,45.04,18.23,27.77,49.98,55.64,12.27,8.46,43.37,37.81,39.02,37.56,46.27,45.15,46.69,18.82,49.49,26.98,10.16,42.31,44.78,50.51,32.77,43.62,11.74
1903,-999.0,51.42,44.97,8.17,20.73,16.19,52.0,48.85,56.64,54.0,-999.0,35.43,24.16,34.64,37.12,29.82,41.95,50.28,45.2,46.39,37.21,32.6,31.14,41.36,46.97,18.72,49.95,18.56,25.69,40.46,53.65,10.98,8.13,43.92,36.3,30.02,30.8,46.41,47.01,50.88,20.25,48.4,26.01,11.39,44.54,37.23,42.65,36.37,42.76,15.67
1904,-999.0,40.6,43.19,8.97,28.23,17.01,44.28,37.48,47.98,38.2,-999.0,27.94,25.18,37.18,38.0,29.65,36.06,42.83,41.71,35.95,41.6,29.76,24.92,40.95,41.55,14.45,45.08,17.64,22.49,39.11,42.47,14.26,11.71,38.65,36.04,29.6,39.24,40.3,45.1,40.24,16.72,40.51,25.79,12.3,36.65,37.35,45.44,31.42,34.51,15.8
