Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1895,-999.0,10.18,5.79,3.31,11.81,3.67,5.63,5.95,7.83,11.15,-999.0,1.38,5.09,2.43,4.06,1.83,6.62,7.91,4.54,5.49,4.93,3.36,1.04,2.21,8.57,3.68,8.84,1.1,1.17,3.88,5.6,1.62,3.47,4.91,4.62,1.84,8.62,5.46,5.03,10.7,1.34,7.52,3.2,3.62,6.93,3.62,10.07,2.02,6.17,3.15
1896,-999.0,14.72,11.74,1.03,11.15,3.27,12.15,9.86,8.76,12.43,-999.0,2.53,9.49,8.04,7.76,2.34,9.01,15.37,10.2,9.48,9.27,6.21,1.52,9.67,17.53,4.74,11.01,1.51,0.77,10.19,11.27,1.05,2.75,10.75,7.44,5.54,16.91,9.06,11.42,12.14,1.41,11.41,5.79,2.13,9.1,9.13,22.29,2.89,7.98,3.33
1897,-999.0,11.76,10.14,4.42,12.74,4.12,9.44,8.06,10.56,13.46,-999.0,3.37,7.91,7.14,7.25,2.54,11.26,11.74,8.2,8.07,6.85,6.52,3.83,8.92,11.14,3.77,10.68,2.44,1.46,7.65,7.53,2.08,4.2,5.78,7.55,3.97,13.93,6.51,9.35,13.68,2.47,10.41,3.49,4.8,9.32,6.18,19.02,3.96,9.9,2.74
1898,-999.0,11.41,15.82,2.53,6.82,2.87,14.97,8.96,5.6,6.69,-999.0,4.32,8.33,8.65,9.66,3.16,14.05,20.02,14.99,8.56,15.19,7.39,1.74,9.26,18.13,3.38,7.0,0.96,2.2,14.67,12.03,1.62,2.52,11.4,10.32,6.3,12.22,10.26,15.38,5.13,1.03,16.06,4.58,3.1,7.59,13.83,19.1,3.39,11.12,2.97
1899,-999.0,16.43,10.12,2.85,6.97,3.89,11.7,12.91,14.67,16.21,-999.0,1.55,7.04,5.28,7.48,2.5,13.2,13.52,10.79,12.74,7.4,4.83,1.71,5.89,15.02,4.46,14.26,0.76,1.34,8.31,13.09,1.82,2.79,7.8,7.98,4.66,11.6,10.01,12.32,14.42,1.02,15.24,3.68,3.27,12.57,7.62,20.4,2.44,11.29,4.93
1900,-999.0,17.5,11.56,0.6,7.72,2.85,14.05,9.53,10.44,13.55,-999.0,3.36,6.54,7.39,8.27,2.82,11.49,18.04,13.51,8.97,15.67,6.53,1.91,7.55,16.23,3.61,11.95,1.14,1.88,14.66,10.87,1.61,2.22,10.94,8.98,4.01,11.73,10.0,12.97,10.74,0.88,13.33,5.89,2.27,9.48,12.03,15.48,4.14,9.5,2.58
1901,-999.0,14.52,7.51,3.59,12.47,1.99,5.17,6.11,11.86,14.58,-999.0,2.17,8.85,3.98,4.37,1.81,5.82,14.25,5.48,5.89,6.86,3.61,1.39,3.88,13.78,3.22,9.63,0.95,1.29,5.25,5.97,1.76,4.29,5.92,4.17,2.01,14.3,5.5,6.0,12.53,0.74,8.91,2.74,3.29,6.39,5.39,20.49,2.18,5.92,2.76
1902,-999.0,18.12,11.55,1.26,10.85,2.56,17.98,14.91,9.15,13.89,-999.0,2.52,8.94,5.1,6.19,1.91,12.1,11.37,15.05,14.68,12.46,4.13,1.75,6.12,14.52,4.47,15.16,2.05,1.75,12.47,16.96,0.99,3.12,10.51,6.48,2.25,14.37,12.16,17.43,12.83,1.77,15.34,2.32,2.61,14.67,9.67,17.51,2.9,14.16,2.9
1903,-999.0,19.74,16.26,2.55,9.78,4.21,15.92,14.46,13.98,15.52,-999.0,3.53,8.19,7.28,10.4,3.39,17.42,19.71,13.85,14.13,12.5,5.97,2.78,8.08,21.53,3.3,13.97,1.66,2.98,13.09,16.07,2.48,2.93,10.33,11.54,6.32,15.34,13.24,16.47,15.07,2.22,17.55,7.51,3.56,12.74,10.73,18.19,3.84,14.53,3.56
1904,-999.0,11.6,9.4,0.76,11.27,1.38,11.0,8.21,9.36,10.24,-999.0,2.11,9.39,6.25,8.64,0.75,8.33,9.26,10.25,6.82,9.01,5.53,2.17,5.71,9.74,4.65,9.04,1.97,0.61,8.01,9.57,0.5,3.14,8.49,8.18,2.49,15.21,8.61,11.83,9.09,1.62,9.16,2.43,2.8,6.57,7.06,17.96,2.41,7.23,3.45
1905,-999.0,17.65,12.27,7.97,11.13,4.14,8.75,11.87,6.95,13.33,-999.0,3.89,5.43,5.11,7.22,2.29,9.58,18.83,8.81,9.86,7.67,5.25,1.85,5.31,19.29,2.96,12.13,1.45,1.98,7.13,10.13,4.22,3.03,7.06,6.63,3.91,10.92,7.9,9.75,9.94,1.61,13.75,4.77,4.25,9.42,5.37,14.36,3.82,9.22,2.72
1906,-999.0,13.58,12.69,3.14,12.1,1.93,10.3,11.14,14.02,16.44,-999.0,3.36,8.42,7.41,6.59,1.36,9.65,11.62,9.56,10.09,8.28,5.69,1.62,7.5,11.55,2.37,15.89,1.02,1.07,8.86,9.31,2.35,3.65,6.9,5.7,3.84,13.21,7.73,12.06,15.91,0.79,10.81,4.77,3.09,10.77,7.48,15.39,3.8,9.2,2.54
1907,-999.0,10.77,14.32,6.63,17.4,2.8,9.86,8.81,3.09,7.71,-999.0,3.71,11.56,9.19,11.35,2.97,16.33,10.14,9.45,9.2,8.66,6.48,2.83,8.83,11.62,6.37,7.99,2.58,2.17,7.77,10.17,3.5,5.89,7.53,10.67,4.39,16.57,10.49,10.9,7.26,2.3,12.19,3.35,5.88,7.25,6.33,18.1,3.83,13.84,3.47
1908,-999.0,17.64,12.19,3.62,12.46,3.33,15.05,11.24,11.33,16.44,-999.0,3.07,6.77,8.28,11.14,3.25,11.19,14.74,11.82,11.14,10.52,7.48,2.12,7.67,17.85,2.76,14.58,1.39,1.94,10.84,13.32,1.8,4.44,10.6,9.02,6.38,13.34,11.81,14.58,16.04,1.58,12.6,4.15,4.05,11.87,9.73,16.4,3.33,10.92,2.65
1909,-999.0,14.01,9.12,5.48,20.65,4.92,14.36,11.04,4.26,10.19,-999.0,3.81,11.57,7.61,9.87,1.24,13.66,10.6,12.92,9.46,13.47,6.46,3.1,6.34,13.78,4.09,10.48,1.1,1.9,12.63,12.12,1.1,4.57,10.65,10.84,1.33,16.98,10.63,14.61,9.0,2.13,14.65,1.67,6.24,9.32,11.86,17.63,3.88,10.89,4.64
