Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1895,-999.0,15.43,15.51,3.27,0.34,6.78,11.25,9.52,20.66,15.78,-999.0,11.85,1.91,10.63,8.5,15.21,12.19,18.4,10.25,9.58,9.39,5.91,10.65,17.11,15.93,5.11,14.86,7.98,9.59,11.22,9.3,8.29,0.53,10.2,7.37,14.41,1.1,10.11,10.33,13.85,6.82,12.42,10.36,1.56,11.1,11.04,1.32,8.35,10.74,3.97
1896,-999.0,13.25,6.17,5.37,0.93,5.01,9.73,11.79,23.46,14.96,-999.0,13.27,3.69,12.87,17.47,11.0,14.68,10.05,9.12,11.68,10.9,10.47,8.27,12.86,11.0,4.46,15.55,6.52,9.64,9.5,12.55,4.85,2.39,10.66,17.0,6.73,2.23,13.04,9.84,18.06,7.31,13.92,3.96,3.7,13.67,10.32,2.58,9.47,16.19,4.13
1897,-999.0,12.76,9.35,2.78,0.93,6.23,20.8,15.12,22.16,13.66,-999.0,9.12,3.46,9.26,8.95,9.83,11.0,13.04,17.21,13.48,13.66,7.98,14.88,11.82,11.4,6.18,13.29,8.72,8.62,17.54,19.63,5.9,1.35,14.07,10.66,9.0,3.27,12.22,14.69,15.45,7.77,10.66,7.43,1.43,10.86,19.06,5.04,12.35,13.53,3.37
1898,-999.0,17.11,12.99,4.58,0.75,5.42,14.62,11.36,27.06,23.43,-999.0,10.47,2.42,11.72,10.26,10.2,12.41,19.83,13.85,11.15,10.8,8.36,10.76,14.75,16.06,5.28,18.45,7.58,7.54,11.72,12.15,8.5,1.18,13.24,11.44,11.82,1.98,12.73,15.71,21.39,5.66,13.64,9.72,2.02,13.65,11.53,3.79,9.3,14.91,3.08
1899,-999.0,13.5,9.71,3.79,0.77,5.75,11.02,11.34,20.57,11.99,-999.0,11.81,2.54,8.81,9.02,12.83,9.85,13.19,10.38,11.92,10.03,9.25,14.41,11.63,11.89,5.59,15.13,8.27,9.58,9.86,12.22,6.43,2.34,8.36,9.33,9.71,2.55,11.05,9.76,13.37,8.41,10.16,9.35,3.02,11.13,10.15,4.64,12.32,11.52,4.39
1900,-999.0,18.24,13.72,1.78,0.61,3.17,8.1,11.34,21.11,16.08,-999.0,15.27,1.64,12.77,13.76,8.99,13.72,20.65,8.84,11.29,9.52,11.85,12.97,13.19,20.07,3.93,13.29,8.27,9.69,9.78,10.54,4.64,0.97,10.68,11.69,8.69,2.58,11.78,7.0,14.51,10.13,16.96,9.33,0.88,10.68,11.59,4.61,14.77,12.2,2.11
1901,-999.0,15.86,6.91,3.18,0.38,5.04,14.31,14.56,27.78,19.32,-999.0,7.42,2.09,7.58,8.67,6.66,11.13,13.86,11.05,14.6,10.08,9.56,11.55,6.02,14.12,5.26,23.22,11.59,8.58,11.41,16.65,4.51,1.89,12.78,10.8,5.6,1.25,14.97,8.89,19.94,10.12,15.25,4.91,2.57,18.63,11.82,2.85,10.42,15.52,4.04
1902,-999.0,7.99,12.86,2.48,0.39,4.62,11.6,12.7,15.84,13.11,-999.0,22.48,2.69,18.13,13.78,15.1,9.5,10.3,11.34,11.26,13.01,11.32,11.5,17.3,9.64,5.36,11.57,8.2,13.69,13.93,15.16,5.72,1.15,14.87,13.29,7.19,2.07,14.9,8.8,13.37,8.37,9.71,7.13,1.37,10.24,13.93,3.61,12.14,10.74,2.66
1903,-999.0,13.71,11.22,3.3,0.34,5.89,19.32,13.67,20.72,15.82,-999.0,14.57,3.26,11.01,11.49,9.74,10.62,15.74,15.79,15.64,10.61,10.85,11.42,12.08,12.11,6.35,15.68,8.49,11.83,14.98,18.98,5.91,0.98,17.48,10.35,8.15,2.99,17.48,14.38,18.13,9.29,11.96,9.96,1.92,14.06,14.74,4.77,14.15,12.57,4.23
1904,-999.0,14.04,14.53,5.61,0.74,6.77,11.28,12.49,20.77,15.49,-999.0,10.99,3.07,11.75,8.87,15.4,9.97,15.45,10.42,11.97,11.0,8.04,10.47,16.11,14.61,3.52,16.9,9.63,11.39,10.11,14.0,5.75,2.23,11.83,9.96,14.41,2.28,13.05,11.55,17.14,8.27,10.47,8.79,2.5,13.57,11.57,3.22,10.21,11.14,3.71
