Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1895,-999.0,14.98,11.35,0.66,5.18,4.61,9.3,12.31,12.46,15.45,-999.0,6.57,5.61,5.82,5.17,4.93,9.63,12.86,9.66,11.55,8.06,4.48,5.28,8.59,13.04,3.6,16.88,4.35,5.58,9.57,11.49,3.01,2.82,7.26,5.63,5.17,8.66,8.02,10.91,15.45,5.65,12.16,7.22,3.28,12.73,8.68,9.24,6.01,9.36,5.3
1896,-999.0,12.22,12.7,1.04,10.08,3.94,10.24,9.3,5.94,7.52,-999.0,12.6,9.01,10.23,9.49,8.87,12.32,10.72,9.99,8.72,10.39,7.66,12.95,14.57,12.04,7.11,9.72,9.64,10.06,10.27,10.54,0.72,4.31,8.82,9.51,6.41,12.37,8.87,9.54,6.62,7.98,13.95,3.62,3.2,10.13,8.82,10.54,11.31,9.54,6.29
1897,-999.0,16.36,15.41,1.15,5.43,5.86,11.43,9.44,9.07,14.02,-999.0,9.14,6.31,11.96,13.33,7.91,17.82,12.79,11.03,10.73,11.36,9.05,4.81,14.03,14.1,4.21,12.83,3.17,7.14,11.9,12.03,4.73,2.4,10.69,12.5,12.9,7.93,11.74,11.41,10.46,5.77,20.72,7.67,3.63,11.31,11.99,8.68,6.71,11.41,3.98
1898,-999.0,8.56,15.42,1.75,3.19,6.15,14.56,10.9,4.41,8.68,-999.0,8.8,5.29,16.39,14.35,10.56,15.27,7.98,11.44,11.11,7.42,7.21,5.64,18.65,9.42,7.91,11.91,4.1,7.63,8.59,13.5,2.46,3.74,9.64,13.06,13.45,5.24,12.24,13.4,9.47,6.62,12.22,5.93,5.21,13.04,7.37,6.1,7.24,13.45,6.49
1899,-999.0,10.79,12.63,0.44,7.15,3.05,12.01,9.25,7.02,9.2,-999.0,9.99,6.28,10.57,9.7,6.03,16.18,7.37,10.41,10.17,8.67,8.55,7.56,12.59,9.15,6.11,14.71,5.27,5.67,9.46,9.93,0.93,3.64,9.09,10.38,9.72,9.59,10.41,11.8,8.74,7.14,15.54,4.96,3.54,12.48,8.91,9.91,9.18,12.94,6.04
1900,-999.0,17.21,10.98,2.6,5.91,7.29,12.9,8.11,16.1,13.71,-999.0,7.91,6.76,7.74,7.9,8.03,8.46,19.75,11.86,7.72,12.75,5.91,3.24,8.52,19.99,6.29,11.98,2.66,7.19,10.54,10.16,3.83,3.63,8.22,6.96,9.92,7.38,7.84,12.87,12.52,4.59,10.97,12.36,3.56,9.07,8.7,10.67,5.52,8.77,5.74
1901,-999.0,16.83,11.05,1.12,4.54,6.41,24.35,11.81,11.81,15.59,-999.0,6.74,5.68,6.91,8.58,6.93,10.6,10.34,20.27,13.26,13.71,6.39,5.04,8.05,11.96,5.56,18.82,1.9,6.05,15.99,16.12,2.93,2.11,13.66,10.69,9.44,7.0,15.4,23.27,16.54,3.88,12.82,5.25,2.91,15.92,12.76,9.31,6.26,17.03,5.6
1902,-999.0,14.25,12.77,1.08,6.25,4.55,12.01,9.16,8.87,12.59,-999.0,8.72,6.21,9.86,9.55,9.16,10.5,12.35,11.7,9.05,14.43,7.59,7.55,11.19,15.5,6.86,8.65,6.45,5.96,14.04,9.72,1.95,2.68,9.78,8.21,16.08,9.45,9.56,11.43,8.94,6.31,12.87,6.46,3.04,8.31,11.92,11.54,8.44,11.07,4.41
1903,-999.0,14.6,14.43,1.73,6.58,4.67,10.7,11.74,11.33,15.46,-999.0,12.91,6.93,10.48,10.58,11.54,12.01,12.36,10.35,11.78,8.96,8.21,9.13,14.19,12.24,5.51,14.23,4.57,8.98,8.34,9.24,1.85,2.73,7.79,10.29,11.24,6.04,9.69,12.16,12.19,5.82,15.05,5.34,3.97,12.53,6.93,8.68,11.03,12.11,4.95
1904,-999.0,9.15,13.01,0.82,9.43,5.19,13.37,7.85,6.29,6.56,-999.0,9.17,8.7,13.13,14.32,9.26,12.21,10.63,13.04,7.92,11.95,9.12,5.69,14.54,10.58,5.29,8.97,4.11,5.9,12.55,9.18,1.32,3.53,9.66,12.76,8.72,12.0,11.88,14.0,6.79,4.42,13.29,6.61,5.05,8.92,9.05,11.73,8.41,10.7,7.23
1905,-999.0,12.85,21.69,5.93,8.1,9.25,8.19,9.48,12.19,11.25,-999.0,11.1,7.22,10.32,11.94,8.72,12.99,21.12,6.92,9.48,5.91,8.36,7.8,11.57,17.71,4.82,13.65,3.97,10.88,6.9,8.58,5.59,3.54,7.18,11.38,15.98,8.14,9.43,6.92,11.58,7.66,13.47,12.59,5.34,10.26,6.91,9.45,8.04,12.18,6.97
1906,-999.0,14.8,13.61,3.06,12.2,9.04,15.31,11.1,11.39,11.48,-999.0,8.16,8.05,8.47,9.31,6.79,10.51,11.89,13.88,10.75,11.91,6.32,7.53,8.83,14.78,7.08,10.27,6.69,9.07,11.68,12.6,3.08,5.11,9.91,8.34,9.73,8.49,10.85,13.45,10.13,8.46,10.97,6.48,7.78,9.79,9.04,7.4,8.24,11.2,7.76
1907,-999.0,18.05,18.54,2.4,10.54,5.52,9.4,13.06,9.88,11.59,-999.0,6.23,7.37,9.83,10.9,4.53,12.37,23.35,8.55,11.34,8.72,7.39,4.17,11.49,21.06,5.51,11.75,2.22,4.49,8.17,11.62,2.94,4.24,8.34,11.6,10.06,9.51,9.89,10.03,10.29,5.44,15.0,7.82,4.4,10.84,8.15,8.12,6.35,12.64,6.25
1908,-999.0,16.5,17.46,1.81,3.01,4.15,11.76,10.66,7.16,14.13,-999.0,12.04,6.13,15.47,14.7,7.18,16.36,14.85,9.92,10.8,9.84,9.36,9.6,15.37,16.35,8.14,12.36,5.37,6.52,9.67,12.55,2.51,2.47,10.85,14.03,15.6,7.15,15.24,11.02,11.88,7.43,13.55,10.18,3.61,11.0,10.21,11.32,10.44,17.47,7.09
1909,-999.0,21.41,15.64,1.56,3.21,4.43,13.31,11.64,10.28,14.83,-999.0,10.37,4.37,12.4,12.7,6.3,15.17,14.13,11.74,10.66,11.32,8.72,5.41,13.31,22.55,5.16,12.95,4.87,5.51,9.74,11.68,1.98,1.59,10.48,11.81,8.88,4.37,11.73,12.16,12.53,5.47,17.1,4.86,2.97,11.3,9.87,5.94,8.23,12.54,4.23
