Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1895,-999.0,5.58,8.23,3.88,3.02,3.38,13.74,6.66,9.39,4.73,-999.0,5.08,3.98,7.25,8.21,3.35,6.41,8.11,15.05,6.65,9.81,7.34,5.39,6.74,6.53,3.42,6.21,1.97,2.44,12.76,7.69,3.2,1.54,8.7,6.86,5.72,4.68,6.24,15.35,5.15,2.34,7.27,5.73,2.72,5.41,10.5,6.04,5.46,5.92,2.92
1896,-999.0,8.49,11.5,4.48,6.15,4.21,12.72,9.56,11.43,9.48,-999.0,9.19,7.99,9.28,9.61,6.45,10.08,13.4,14.03,8.5,14.14,10.62,7.81,9.43,9.74,6.71,11.87,4.77,5.01,14.01,9.78,6.35,1.88,10.99,8.91,7.14,11.84,11.13,14.34,8.53,4.74,11.84,9.05,3.15,10.7,11.54,15.19,9.24,10.72,4.42
1897,-999.0,3.81,5.27,3.32,4.16,4.71,9.95,9.65,14.64,7.14,-999.0,3.62,7.85,5.48,8.02,4.25,5.95,8.58,9.81,9.58,9.35,6.56,3.84,3.96,4.72,6.53,7.65,1.32,4.52,10.19,8.89,4.76,3.13,8.46,7.98,3.4,9.55,8.79,11.14,8.37,2.52,5.17,4.37,5.27,6.79,9.64,15.85,5.15,6.85,3.03
1898,-999.0,13.29,15.5,0.7,2.74,2.79,16.23,10.98,15.79,15.97,-999.0,7.66,4.41,10.99,11.98,6.37,11.88,21.12,16.38,10.25,14.23,9.48,6.02,13.47,15.03,4.23,13.21,3.81,3.53,14.18,14.16,1.56,1.96,12.02,9.78,5.64,8.4,10.93,18.32,12.37,2.1,12.45,4.25,1.79,11.7,12.09,11.13,7.66,10.39,2.5
1899,-999.0,6.14,6.9,1.96,7.74,3.59,8.94,8.19,11.0,7.61,-999.0,3.98,6.53,7.08,7.35,4.73,6.19,5.84,9.7,9.32,8.4,7.09,5.29,7.21,4.61,3.63,9.02,1.98,2.2,8.35,10.13,3.41,1.49,8.8,6.85,9.33,10.76,8.98,10.87,10.29,2.18,6.45,6.64,2.13,8.86,9.06,15.86,6.38,7.21,2.64
1900,-999.0,13.18,12.65,3.25,7.6,2.51,12.57,9.71,11.18,10.17,-999.0,10.05,6.94,8.79,8.5,7.95,12.73,9.22,12.65,9.28,13.16,10.11,9.77,11.69,11.17,4.74,9.56,5.96,4.17,13.05,9.75,5.1,2.87,11.54,8.15,11.19,9.52,9.14,12.41,9.64,4.11,13.84,9.27,3.88,10.11,11.99,12.89,13.42,10.14,3.11
1901,-999.0,7.49,8.23,1.26,5.16,1.52,11.15,6.87,8.82,7.28,-999.0,7.66,4.26,5.13,6.35,5.4,6.81,8.53,8.72,6.7,8.71,6.82,6.41,5.36,7.83,3.41,9.03,3.37,6.18,8.51,8.01,4.08,2.11,8.55,5.28,4.82,7.51,7.18,9.48,6.78,5.42,7.11,5.77,1.58,6.94,7.8,12.81,7.54,7.0,2.08
1902,-999.0,11.96,14.44,2.55,5.77,3.93,14.79,14.33,18.13,12.52,-999.0,8.86,4.95,9.4,11.21,6.91,10.83,14.2,10.58,14.27,9.4,8.82,5.41,10.74,11.24,3.04,12.42,1.81,5.63,11.07,13.9,2.91,1.84,9.51,9.55,12.67,8.95,10.12,10.57,12.29,1.78,12.08,10.42,3.08,11.96,10.36,13.09,7.85,9.01,2.1
1903,-999.0,5.65,5.62,1.87,5.76,2.54,8.91,10.98,12.16,9.4,-999.0,6.17,7.21,7.18,6.43,5.88,6.47,3.66,7.85,7.77,6.71,7.86,8.51,8.65,3.11,4.16,7.55,3.62,3.16,6.74,12.58,1.64,1.97,9.68,6.19,5.56,11.03,8.83,6.98,7.89,3.63,6.55,3.9,2.61,7.26,6.01,16.02,8.82,6.73,3.46
1904,-999.0,4.55,4.66,1.05,4.99,3.2,9.44,8.29,11.76,4.93,-999.0,4.7,3.14,5.97,5.1,3.93,4.11,5.8,8.52,8.13,10.89,6.96,6.76,4.74,4.82,1.04,8.82,2.01,4.52,9.29,10.7,5.85,2.4,8.91,3.96,3.89,6.48,6.75,7.3,6.58,2.43,5.28,7.28,1.56,6.12,10.65,10.04,9.39,4.19,1.33
