Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1900,49.286,53.151,83.053,41.268,42.075,10.0,-999.0,90.499,71.081,27.08,40.472,38.579,32.341,69.653,59.094,90.184,10.794,-999.0,14.529,13.609,12.987,80.953,54.705,24.396,51.363,37.181,15.005,27.456,-999.0,10.218,61.011,20.113,30.26,-999.0,10.064,21.991,13.0,67.653,37.479,43.205,92.344,60.066,4.958,39.076,14.254,45.563,20.027,13.59,-999.0,-999.0,-999.0,
1901,65.489,64.681,95.973,48.158,46.723,5.0,-999.0,70.054,47.251,29.198,57.625,52.298,51.303,84.941,56.977,91.341,10.048,-999.0,11.559,14.684,20.754,81.488,81.382,21.511,57.01,44.001,13.719,14.552,-999.0,8.971,36.21,17.616,28.655,-999.0,21.17,10.687,5.0,42.893,39.738,44.618,104.598,65.851,5.502,20.407,18.4,23.692,27.351,18.014,-999.0,-999.0,-999.0,
1902,89.218,58.321,72.436,42.605,41.491,0.0,-999.0,99.158,88.476,27.901,19.98,27.37,9.709,52.246,54.202,104.036,1.307,-999.0,2.314,2.768,4.72,90.13,33.543,9.476,22.733,48.504,1.353,6.749,114.199,1.296,47.723,7.786,17.451,-999.0,20.952,2.212,2.0,62.609,15.057,48.719,112.311,60.716,0.0,24.161,16.759,10.619,4.37,6.16,-999.0,-999.0,-999.0,
1903,65.214,65.814,58.139,52.981,33.449,2.0,-999.0,68.042,60.473,22.121,21.241,27.546,10.575,48.902,43.665,83.476,3.883,-999.0,5.739,3.042,2.097,77.259,31.389,8.84,20.44,45.061,5.037,10.664,91.461,2.376,34.766,9.324,19.872,70.181,12.601,4.44,5.0,45.965,13.26,44.658,82.606,58.069,3.502,16.055,15.212,16.203,5.024,7.252,-999.0,-999.0,-999.0,
1904,87.306,58.278,62.648,58.624,23.349,1.0,-999.0,81.399,78.301,30.641,12.979,15.09,8.625,38.81,40.006,99.998,0.713,0.0,3.686,2.757,2.956,88.373,20.055,10.79,19.122,52.506,3.053,7.098,90.703,2.325,33.679,5.482,9.48,77.372,24.341,2.964,1.0,44.505,16.038,37.139,105.56,51.567,3.007,13.618,25.193,11.932,4.351,9.225,-999.0,-999.0,-999.0,
1905,68.688,59.927,61.24,53.645,33.72,2.0,-999.0,97.667,76.263,31.478,24.956,18.697,18.323,59.731,36.316,102.822,2.645,0.0,7.917,4.015,7.158,78.77,29.088,15.843,29.243,51.412,7.698,9.666,65.159,3.213,33.33,7.979,11.671,86.617,18.818,5.014,2.0,41.465,20.251,33.233,104.369,55.495,5.007,13.833,19.753,12.313,7.688,4.539,0.0,-999.0,-999.0,
1906,60.52,47.23,64.375,63.68,25.249,0.0,-999.0,81.47,71.536,29.722,37.219,30.899,22.47,46.528,36.954,104.331,3.557,0.0,4.822,8.548,10.018,83.225,34.238,17.791,30.841,55.756,8.021,11.416,55.927,4.244,38.053,19.563,18.887,53.744,28.525,4.609,1.0,40.89,20.646,36.128,96.646,45.958,11.813,19.661,28.672,15.736,9.504,5.836,0.0,-999.0,-999.0,
1907,66.188,45.537,76.865,39.054,31.52,1.0,-999.0,102.859,77.011,16.52,18.037,16.358,13.439,67.847,38.961,99.735,4.021,0.0,7.646,2.811,3.807,85.509,40.09,6.092,40.382,38.525,7.376,6.985,70.23,4.903,36.218,6.83,6.515,-999.0,14.401,2.097,0.0,49.7,13.505,46.717,111.501,40.973,6.764,13.929,17.828,5.66,3.171,7.133,0.0,-999.0,-999.0,
1908,76.112,48.476,67.319,55.911,32.319,2.0,-999.0,87.895,76.789,31.211,38.001,49.505,18.015,55.522,48.539,80.593,7.946,4.0,10.117,10.917,10.129,78.145,43.554,20.913,36.326,50.923,13.37,17.491,69.201,8.249,37.285,15.48,31.345,81.481,26.756,13.315,3.0,39.965,25.757,41.523,103.531,44.864,10.803,22.217,27.583,29.461,13.643,5.836,0.0,-999.0,-999.0,
1909,66.034,54.481,86.538,54.718,35.555,2.0,-999.0,89.597,60.111,29.172,30.063,22.994,22.825,65.686,39.264,98.042,7.461,0.0,11.393,6.566,7.705,88.368,53.449,15.519,42.44,53.413,9.369,15.587,76.193,5.609,28.586,13.501,8.314,115.381,12.623,5.645,6.0,39.475,26.225,41.536,122.506,43.081,12.086,17.767,15.436,13.055,11.555,12.559,0.0,-999.0,-999.0,
1910,49.346,76.538,63.855,63.895,42.704,3.0,-999.0,75.125,66.549,27.766,31.479,24.292,33.68,66.818,32.314,103.288,2.912,1.0,6.032,9.663,24.719,79.454,34.717,20.556,47.681,53.371,5.988,13.32,82.399,4.801,35.253,26.058,18.857,117.985,16.489,4.879,3.0,43.835,35.633,25.85,127.218,58.801,2.492,21.934,20.277,16.576,27.898,11.025,0.0,-999.0,-999.0,
1911,91.529,53.094,87.747,46.231,38.348,11.0,-999.0,99.169,98.248,18.537,46.701,48.435,42.928,86.568,62.843,122.561,15.926,9.0,16.72,15.56,17.266,94.731,69.095,9.746,55.149,48.459,18.38,18.278,72.784,15.854,60.799,9.196,34.489,123.069,20.057,21.428,5.0,74.972,34.515,61.344,131.421,46.773,18.474,38.967,22.546,37.296,20.637,7.133,0.0,-999.0,-999.0,
1912,55.127,49.683,75.356,45.505,26.275,5.0,-999.0,85.954,66.333,15.584,28.403,23.986,24.869,60.344,37.736,102.096,8.871,0.0,8.789,4.496,9.735,73.083,49.602,9.102,39.443,36.577,9.351,14.217,68.897,7.876,40.691,8.851,13.262,90.205,14.77,7.333,2.0,51.165,20.918,32.28,115.404,33.195,13.833,20.272,19.463,13.286,10.928,3.89,0.0,-999.0,-999.0,
1913,77.46,64.958,88.381,57.261,42.973,4.0,-999.0,82.605,80.687,23.223,59.031,61.653,47.25,85.266,75.728,85.116,6.029,4.0,15.311,13.931,14.118,79.318,80.018,12.752,65.348,37.221,13.702,16.626,76.102,7.825,46.301,18.564,34.863,101.053,16.677,18.384,4.0,62.47,39.143,71.053,104.175,40.655,7.774,19.418,22.603,24.463,17.658,10.376,0.0,-999.0,-999.0,
1914,74.752,59.709,88.598,50.278,33.163,3.0,-999.0,97.139,84.29,30.624,53.43,56.075,36.748,74.003,68.899,100.206,5.015,2.0,10.363,9.673,11.717,92.631,69.681,20.358,47.613,53.1,9.007,17.102,73.31,5.536,56.005,18.485,37.451,99.672,20.94,17.875,2.0,67.071,34.153,75.313,100.804,41.892,9.474,27.768,21.848,33.99,11.314,8.43,0.0,-999.0,-999.0,
1915,81.272,71.868,58.093,56.083,19.772,0.0,-999.0,101.545,86.173,28.101,9.709,13.853,2.761,18.806,30.79,100.455,0.0,0.0,5.348,0.683,1.753,86.291,20.611,7.663,9.535,54.431,3.008,14.239,62.429,3.027,47.396,7.203,6.338,55.561,22.202,6.988,0.0,63.994,2.446,46.168,95.097,40.524,3.483,21.447,27.42,10.965,1.033,4.863,1.0,-999.0,-999.0,
1916,68.499,62.389,88.977,45.715,36.868,4.0,-999.0,76.104,64.43,21.875,47.999,43.746,39.384,71.875,44.104,103.317,7.219,0.0,9.081,18.308,18.565,80.438,59.519,11.09,53.68,44.372,11.109,13.144,76.019,13.927,32.015,17.36,32.591,105.623,13.813,17.933,-999.0,39.623,34.277,48.465,122.234,31.181,15.008,13.869,17.339,17.971,23.931,9.225,3.0,-999.0,-999.0,
1917,54.571,67.764,61.374,66.973,36.805,5.0,-999.0,77.916,70.912,34.361,22.037,20.642,17.145,56.666,28.266,89.141,5.384,1.0,5.705,5.639,9.631,71.591,37.064,20.688,38.559,76.444,7.399,9.446,70.949,7.066,39.26,23.077,11.241,93.375,24.856,7.931,-999.0,49.368,25.619,32.396,117.089,47.025,7.998,13.965,24.791,20.275,8.257,9.403,0.0,-999.0,-999.0,
1918,72.3,58.644,92.003,51.912,39.436,7.0,-999.0,84.992,74.532,28.212,35.928,34.38,28.337,73.671,49.709,104.782,4.834,6.0,11.859,9.29,8.212,90.177,59.469,15.98,52.967,61.837,11.742,15.686,77.765,11.625,38.082,11.538,24.602,114.523,23.895,15.126,10.0,46.694,23.179,56.053,124.24,45.337,15.513,23.22,22.134,23.079,10.678,11.91,3.0,-999.0,-999.0,
1919,58.119,50.536,78.953,56.048,50.602,11.0,-999.0,97.712,69.993,37.276,48.632,48.283,29.749,68.459,61.095,82.964,11.349,5.0,9.855,11.548,8.175,75.125,53.832,36.014,49.93,75.968,9.066,14.804,55.429,11.469,47.33,23.081,32.475,82.545,26.037,16.067,6.0,43.376,31.007,59.784,72.964,67.726,13.542,20.358,23.01,25.94,14.307,15.241,1.0,-999.0,-999.0,
1920,42.764,53.967,60.532,50.681,30.652,-999.0,-999.0,82.836,66.368,34.316,33.383,23.148,19.196,51.706,25.957,92.912,2.721,0.0,3.408,3.069,7.798,69.094,36.736,19.15,39.234,53.981,2.017,3.956,68.364,3.382,32.693,19.6,10.946,65.408,22.566,1.411,0.0,45.671,21.274,36.057,101.804,43.587,4.007,10.668,24.67,11.579,7.486,7.133,0.0,-999.0,-999.0,
1921,84.159,53.734,98.949,59.625,37.235,-999.0,-999.0,97.859,90.649,25.129,57.321,53.239,39.06,70.625,67.706,112.997,11.231,0.0,12.567,17.732,23.911,105.608,66.881,21.735,56.423,61.452,16.633,17.305,62.969,13.973,53.809,23.839,34.675,94.182,15.467,15.887,5.0,72.597,41.28,76.035,119.912,45.644,18.513,26.127,18.779,23.474,29.369,10.376,0.0,-999.0,-999.0,
