Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1895,-999.0,73.07,69.93,71.41,68.42,57.02,57.07,62.77,79.05,73.05,-999.0,58.3,53.8,60.91,61.41,65.45,64.98,75.53,56.35,62.36,50.8,53.17,50.65,64.52,73.43,52.02,67.88,49.63,60.48,53.02,60.29,65.25,61.99,53.88,60.23,70.23,55.54,57.48,57.24,71.91,56.08,67.53,75.02,57.57,64.51,51.79,55.28,52.95,62.31,51.01
1896,-999.0,75.78,73.27,72.62,69.28,59.26,56.83,63.51,80.31,75.46,-999.0,58.42,53.97,62.52,62.24,67.75,66.88,78.08,55.88,63.58,49.05,52.98,49.95,66.55,76.11,51.39,70.23,47.48,60.93,52.28,60.41,68.4,62.38,53.86,60.74,73.86,55.98,57.74,56.92,74.63,54.92,69.78,77.53,59.12,66.14,51.4,55.16,53.13,63.38,52.63
1897,-999.0,75.92,72.85,71.68,68.19,58.0,57.18,63.24,80.66,75.02,-999.0,57.69,54.22,62.05,62.22,66.7,67.39,77.81,56.39,63.12,49.48,52.52,49.76,66.2,76.28,52.13,69.92,49.26,60.43,52.85,60.35,66.15,61.01,54.23,61.21,72.46,55.63,57.83,56.76,74.06,54.87,70.42,77.56,57.61,66.48,51.94,55.21,52.73,63.67,52.78
1898,-999.0,74.22,71.14,72.56,69.44,57.05,57.88,64.18,80.75,74.32,-999.0,57.63,54.3,61.08,62.03,65.22,66.81,76.02,56.82,64.12,50.46,53.54,51.12,64.67,74.3,51.16,69.62,50.2,60.16,53.52,61.1,66.37,61.7,55.42,61.43,71.17,56.17,58.79,57.65,73.93,56.49,69.33,76.55,58.41,66.07,52.85,55.74,53.9,63.15,52.62
1899,-999.0,74.9,71.3,73.13,69.03,57.32,57.51,63.29,80.91,74.94,-999.0,57.75,52.95,61.35,62.0,65.63,66.5,76.94,56.53,63.26,50.07,52.73,49.48,64.98,75.17,49.39,69.56,47.55,59.88,52.64,60.38,67.21,61.42,54.63,61.59,71.12,54.45,58.18,57.38,73.91,54.7,69.17,76.54,58.56,65.77,52.03,54.27,52.7,63.12,51.38
1900,-999.0,74.81,72.13,74.1,69.94,60.09,59.14,65.14,80.2,74.67,-999.0,59.43,55.97,62.69,62.88,67.32,67.78,76.62,57.41,65.02,51.01,53.96,52.66,66.42,74.94,54.72,70.79,52.53,62.95,53.43,62.17,68.55,63.16,55.25,62.01,72.29,57.13,59.22,58.42,74.37,58.97,69.57,76.05,61.01,67.12,52.33,56.59,54.18,64.53,54.72
1901,-999.0,73.58,72.28,73.97,69.96,59.82,56.39,62.38,78.97,73.1,-999.0,59.6,54.92,62.18,61.41,67.56,65.88,76.84,55.27,62.03,49.57,52.96,51.34,67.27,74.41,53.52,67.83,51.52,61.9,52.22,59.34,68.14,62.58,53.17,59.97,73.33,56.45,56.76,55.83,72.2,58.4,67.73,77.78,60.82,64.08,51.24,55.68,53.58,61.54,53.02
1902,-999.0,75.52,70.35,73.92,68.67,59.22,57.47,63.38,80.7,75.01,-999.0,57.13,53.78,60.88,61.56,65.23,66.52,77.13,56.15,63.06,49.98,53.32,50.96,64.11,75.5,51.51,69.42,49.48,59.88,52.43,60.42,67.87,61.68,53.72,60.53,70.97,55.93,57.61,56.94,73.52,55.68,68.9,77.35,59.77,65.39,51.13,54.84,53.12,62.74,52.55
1903,-999.0,73.69,69.57,73.02,68.97,57.02,57.22,62.93,79.6,73.62,-999.0,56.87,52.86,60.76,61.19,64.38,66.26,75.46,56.12,62.57,50.37,52.52,49.24,63.78,74.22,51.65,68.82,49.31,59.13,52.62,60.14,66.63,61.29,53.7,60.61,69.85,56.07,57.51,56.57,72.45,55.01,68.38,74.48,58.28,65.03,51.73,54.25,52.03,62.73,51.38
1904,-999.0,75.32,71.03,74.14,69.84,59.4,54.79,60.79,80.37,74.38,-999.0,56.37,55.33,59.61,59.68,66.28,65.71,77.48,53.64,60.71,46.94,50.12,47.89,63.91,75.76,53.32,67.9,48.51,61.55,49.68,57.72,67.55,63.15,51.13,58.7,72.56,57.83,55.54,54.17,72.67,56.15,68.51,77.42,60.65,63.69,48.67,56.68,50.42,61.92,54.06
