Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1895,-999.0,50.4,44.5,52.5,51.75,33.45,30.4,36.75,65.4,51.85,-999.0,24.25,31.1,28.15,29.35,34.95,36.0,53.95,30.7,35.35,23.6,21.9,14.0,35.35,49.95,23.8,44.4,11.25,29.4,26.05,33.3,44.95,40.7,25.15,29.2,42.05,36.75,27.85,33.0,49.45,20.65,41.2,54.05,33.45,38.15,24.65,37.2,19.0,33.9,26.25
1896,-999.0,56.37,51.93,54.6,54.67,38.8,35.1,43.97,66.57,56.77,-999.0,33.13,34.87,37.9,38.23,45.67,44.5,60.3,34.37,42.77,25.17,28.93,23.2,43.63,56.37,31.43,51.1,20.53,40.6,29.1,39.23,48.73,44.5,30.47,37.3,50.67,40.63,35.23,36.73,55.73,32.8,48.43,59.57,36.37,45.63,27.87,38.93,26.9,41.7,31.33
1897,-999.0,56.93,52.77,53.07,51.57,38.03,34.43,41.53,67.9,57.17,-999.0,30.73,33.37,37.0,37.4,43.7,44.83,60.33,34.2,41.0,25.2,28.27,20.3,42.77,57.23,30.87,50.43,17.33,37.23,29.17,37.77,47.17,42.27,30.1,36.43,51.13,38.63,33.77,35.53,55.17,26.57,49.4,59.17,36.53,45.23,27.5,37.5,26.17,41.43,32.37
1898,-999.0,58.37,51.63,52.8,52.0,36.47,36.23,44.77,70.3,59.1,-999.0,29.13,32.43,36.07,38.27,42.6,46.13,62.3,35.47,43.57,25.9,27.87,22.6,41.8,58.6,31.07,52.23,23.3,36.2,29.97,40.07,48.43,39.83,31.67,38.03,51.33,38.57,36.0,37.77,57.5,31.5,50.13,61.1,32.43,46.83,28.97,37.1,26.07,43.0,30.17
1899,-999.0,53.37,46.17,51.1,53.4,31.43,33.77,41.07,68.37,55.7,-999.0,25.5,29.87,31.7,33.27,35.67,40.1,56.1,33.27,39.77,23.9,23.6,15.33,36.1,51.83,23.1,49.5,14.3,30.4,27.73,36.43,43.97,41.43,29.23,33.77,43.9,36.2,32.0,35.23,54.6,24.17,44.57,53.77,34.63,42.93,27.17,34.23,19.9,37.93,25.6
1900,-999.0,55.77,50.87,58.33,54.77,38.3,37.2,44.23,67.83,55.63,-999.0,29.4,34.03,35.57,36.63,41.6,43.37,59.07,36.03,43.07,27.97,27.2,21.2,40.23,55.73,30.43,50.77,20.5,36.17,30.6,40.2,50.73,45.1,31.27,36.63,48.97,39.97,34.73,38.27,55.0,30.27,47.03,57.67,38.33,45.4,29.63,39.13,24.6,41.4,30.97
1901,-999.0,56.27,52.97,55.47,53.0,39.6,33.2,40.47,67.27,56.33,-999.0,30.7,33.73,35.6,35.8,42.73,44.33,60.77,32.0,40.03,22.43,25.87,20.03,42.4,56.97,30.5,49.63,19.8,37.23,25.97,36.67,50.5,42.9,27.3,34.5,51.5,38.77,32.13,33.9,55.07,31.7,48.2,58.97,38.4,44.17,24.0,38.13,24.27,39.2,30.17
1902,-999.0,53.3,45.77,57.43,54.7,40.07,34.17,39.3,66.0,54.17,-999.0,27.97,34.1,31.87,33.03,40.43,39.2,57.97,33.63,38.07,26.37,26.9,21.63,36.63,53.13,30.47,47.1,20.2,34.3,29.0,36.33,50.97,44.33,28.57,33.17,48.4,39.53,31.8,35.4,52.53,28.33,43.0,58.77,39.7,40.87,27.23,37.83,24.47,37.4,30.17
1903,-999.0,56.2,48.47,52.17,50.77,34.07,35.2,42.67,69.57,57.53,-999.0,28.43,30.2,34.13,35.67,37.87,43.87,59.17,33.8,41.47,26.4,27.3,18.87,38.77,56.0,27.47,51.77,16.8,31.0,28.77,39.0,45.73,38.83,29.77,35.77,45.97,37.77,34.2,36.2,55.57,24.93,48.03,55.57,32.67,45.67,26.73,35.7,24.27,41.33,27.37
1904,-999.0,55.2,51.2,57.23,54.1,41.9,29.5,37.03,67.67,54.6,-999.0,24.97,32.8,30.47,31.33,44.53,41.07,61.17,28.5,36.4,19.9,19.87,13.07,38.97,56.77,29.33,46.7,13.77,37.07,22.83,32.83,51.67,43.73,23.8,30.63,52.97,38.63,28.67,30.97,52.67,25.0,46.63,62.6,39.0,40.53,21.0,36.33,17.3,36.9,31.5
1905,-999.0,52.1,44.3,53.1,54.83,35.57,29.57,36.6,66.83,53.5,-999.0,24.5,33.07,30.73,32.0,34.5,38.4,55.27,28.73,35.7,19.33,22.97,17.0,34.7,51.73,27.63,45.7,17.6,30.9,23.1,33.2,45.0,44.27,24.3,31.1,42.07,39.43,28.8,30.8,52.03,25.17,42.47,53.87,37.7,39.5,21.33,37.37,20.37,36.33,29.43
1906,-999.0,55.97,50.23,52.77,54.3,39.73,39.07,45.7,67.53,56.0,-999.0,34.0,31.33,38.7,39.77,45.8,45.73,58.3,37.8,44.73,28.57,31.37,23.73,42.93,55.77,32.67,51.53,21.3,41.47,32.73,41.87,45.7,40.17,34.1,39.83,51.07,38.73,38.3,40.0,55.7,32.67,48.97,57.23,36.03,46.8,31.33,37.43,28.23,43.87,31.93
1907,-999.0,62.0,56.1,56.77,52.37,43.7,32.17,42.13,72.37,61.47,-999.0,30.73,34.67,38.27,39.03,44.37,47.67,66.87,30.43,41.1,21.33,27.03,17.9,43.9,63.07,25.57,53.57,13.53,36.23,24.47,36.83,52.3,43.37,27.23,37.63,54.87,40.63,33.53,33.0,59.27,26.93,52.6,65.57,41.33,47.27,22.83,33.43,24.9,43.47,33.33
1908,-999.0,55.1,52.13,56.13,52.97,38.8,35.97,42.53,67.57,55.07,-999.0,33.67,33.97,37.37,37.2,45.17,43.77,61.27,35.27,40.9,27.4,28.57,25.77,43.47,56.87,33.43,49.77,26.4,39.73,29.97,38.87,49.83,44.33,30.13,36.87,52.9,40.73,34.13,37.5,54.87,34.6,47.93,60.97,38.67,43.73,27.67,37.57,28.1,39.87,32.77
1909,-999.0,61.93,55.3,55.13,51.2,37.0,38.0,47.2,72.63,62.1,-999.0,32.67,32.53,39.83,40.9,45.2,48.77,64.9,36.2,45.93,25.1,29.77,20.3,45.7,61.6,27.5,56.3,18.0,36.97,30.2,42.37,51.07,43.1,32.6,40.77,54.1,37.63,38.1,38.53,61.17,26.9,52.73,64.2,37.97,50.4,28.27,33.47,26.53,46.47,30.53
1910,-999.0,55.53,48.33,52.27,49.47,32.8,34.23,40.87,67.57,55.47,-999.0,24.37,26.13,31.73,33.07,36.6,41.1,59.43,33.7,39.67,26.43,26.0,16.5,37.37,55.17,23.5,49.97,14.07,29.13,29.13,37.0,46.13,36.17,28.5,33.3,46.73,34.13,32.1,35.77,54.47,20.33,45.63,57.23,32.43,43.7,26.8,32.1,22.17,39.27,23.47
