Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1895,-999.0,89.23,88.27,89.47,85.7,77.23,78.2,83.5,89.83,89.4,-999.0,83.97,75.93,85.87,86.4,86.27,86.37,90.27,77.33,83.93,74.23,79.33,77.3,85.53,89.87,74.77,85.97,77.1,83.17,75.7,81.97,83.27,83.9,77.47,85.0,90.37,74.63,80.77,76.7,89.13,81.9,86.83,91.7,81.07,84.6,74.87,73.7,80.1,83.33,73.53
1896,-999.0,91.17,93.03,90.8,87.63,80.77,77.63,82.87,90.4,90.2,-999.0,83.03,78.33,84.43,83.57,89.77,85.47,93.5,77.27,83.4,73.47,77.73,78.83,87.0,92.67,77.77,86.03,78.6,84.63,75.77,81.33,86.67,84.8,77.27,81.87,95.57,76.77,79.1,76.73,89.63,82.93,87.1,95.13,82.83,83.83,75.0,75.43,80.1,81.97,77.3
1897,-999.0,92.1,91.67,90.8,86.7,79.67,75.77,81.0,91.3,90.97,-999.0,82.47,77.63,84.73,83.83,89.63,86.23,92.37,75.27,81.7,71.1,76.07,76.33,87.37,92.6,76.17,86.23,77.6,84.27,73.9,79.4,84.37,83.33,75.1,81.93,92.73,74.17,77.83,74.9,90.07,80.8,88.23,94.13,81.5,84.63,73.57,74.23,77.63,82.17,76.47
1898,-999.0,90.53,89.57,91.83,87.8,80.17,79.2,84.17,90.73,89.5,-999.0,83.63,79.57,84.83,85.53,88.57,87.53,90.07,77.93,84.93,73.03,78.47,77.6,86.43,90.8,76.43,86.67,78.23,85.53,76.33,82.2,84.13,85.73,78.53,84.6,90.73,76.83,81.53,77.23,90.13,83.43,88.13,91.97,84.47,85.23,75.93,75.97,80.0,83.7,78.8
1899,-999.0,92.07,90.9,90.67,86.0,79.07,79.5,83.73,90.9,91.63,-999.0,83.8,75.17,86.07,86.4,88.73,88.37,92.7,78.73,84.43,73.43,78.73,78.0,87.83,92.67,74.03,87.27,77.47,84.93,76.8,81.97,85.2,82.3,78.9,85.17,92.33,72.6,81.27,78.33,91.43,82.7,89.77,94.1,81.17,86.1,76.4,71.47,79.83,84.23,76.47
1900,-999.0,89.77,89.13,92.6,86.43,81.63,80.83,86.2,90.9,90.67,-999.0,85.0,78.17,85.97,85.27,90.57,87.77,89.5,79.63,86.57,74.87,78.53,80.23,87.87,89.77,78.67,89.03,81.63,87.13,77.37,83.83,87.43,84.3,79.43,84.53,92.17,74.53,82.5,79.1,91.17,84.73,87.47,92.17,84.1,87.2,76.33,73.93,80.6,85.2,79.2
1901,-999.0,91.93,93.93,92.47,87.73,81.4,79.83,84.83,89.63,89.77,-999.0,89.37,77.17,89.93,88.07,94.33,88.9,92.73,79.2,84.57,74.33,79.6,79.87,94.47,92.97,75.93,85.77,78.8,89.03,77.37,82.7,86.47,83.47,78.8,85.3,96.27,75.13,81.37,78.2,89.0,84.7,89.3,95.7,83.47,84.4,76.8,73.37,82.0,83.93,76.77
1902,-999.0,95.1,90.27,92.87,86.6,79.97,76.33,83.33,91.9,92.77,-999.0,78.93,75.4,82.47,82.9,87.03,87.3,93.47,74.57,83.33,69.83,74.57,75.67,84.9,94.43,73.23,87.53,75.5,81.67,71.7,80.17,86.13,83.37,73.8,81.5,92.3,74.5,77.87,74.8,90.93,79.57,89.5,94.07,82.93,84.7,71.03,73.1,75.97,82.27,75.2
1903,-999.0,89.63,86.73,91.83,86.6,77.0,73.63,80.17,90.27,89.67,-999.0,79.23,76.9,82.2,81.93,84.97,84.6,89.07,72.8,79.67,68.9,73.73,74.93,83.7,89.57,74.5,85.07,76.43,80.43,70.2,76.9,84.33,83.67,72.13,80.53,89.2,74.77,75.67,72.23,88.57,79.9,85.53,89.93,82.5,82.0,70.33,73.5,75.27,80.47,75.3
1904,-999.0,90.5,87.43,90.8,87.23,76.17,77.03,81.47,89.87,89.87,-999.0,80.03,76.83,81.93,82.37,84.7,85.63,89.9,76.3,81.53,72.4,75.13,74.37,83.3,90.33,76.0,85.3,75.4,81.4,74.47,79.43,83.67,83.37,75.67,81.0,89.0,76.83,78.2,74.83,88.93,79.97,86.37,90.83,80.93,82.57,74.33,75.57,76.1,81.23,74.37
1905,-999.0,90.77,87.47,92.5,87.3,79.07,77.57,81.97,90.33,90.57,-999.0,82.27,76.83,84.4,83.53,88.17,85.7,90.53,76.63,82.0,72.33,76.13,75.83,85.43,90.4,75.27,85.4,76.53,82.83,74.4,80.27,84.93,84.83,75.7,82.17,90.07,77.3,78.5,75.73,89.5,79.37,86.57,92.0,82.8,83.27,73.7,74.47,76.73,81.63,75.23
1906,-999.0,90.9,87.6,90.73,86.77,76.53,78.8,81.97,89.4,89.8,-999.0,82.57,76.3,84.87,84.3,86.03,85.9,91.57,78.07,82.43,74.57,77.53,76.53,85.1,91.13,74.8,85.23,77.2,82.83,76.63,80.97,83.3,83.8,78.0,83.03,87.17,77.9,80.1,76.73,88.73,79.77,86.53,90.77,80.47,83.43,76.57,76.2,78.27,82.17,73.77
1907,-999.0,91.17,90.57,89.33,83.73,76.83,77.63,79.77,90.23,90.8,-999.0,80.87,72.37,82.53,81.4,88.07,84.97,91.6,77.17,79.77,72.13,75.63,76.3,85.87,91.7,72.23,84.73,76.83,83.97,74.87,78.93,83.73,79.83,75.63,79.93,90.83,73.67,77.03,76.03,89.3,80.73,87.53,93.27,78.73,81.3,74.43,72.43,76.77,79.2,73.7
1908,-999.0,91.23,88.53,90.7,86.67,77.1,80.23,82.77,90.1,90.57,-999.0,80.73,74.33,84.4,84.97,85.97,86.27,90.6,79.1,82.83,75.37,78.0,75.9,85.17,90.6,74.93,84.97,77.23,81.43,77.3,82.13,83.47,83.5,78.33,83.57,88.67,76.8,80.8,78.17,88.37,79.9,87.13,91.67,80.0,83.03,77.03,75.5,77.87,82.47,73.2
1909,-999.0,91.1,91.43,91.13,86.07,79.2,78.67,81.8,89.97,89.87,-999.0,82.97,77.0,84.93,83.23,89.03,85.43,91.83,77.5,82.13,73.83,77.97,78.37,87.7,91.67,75.87,85.0,78.43,85.47,75.33,80.77,85.83,85.23,76.43,81.83,93.5,75.5,79.33,76.87,88.7,82.7,87.17,94.07,82.83,83.1,74.93,73.77,79.47,81.57,77.7
1910,-999.0,88.97,87.5,93.27,87.63,80.37,78.3,81.2,88.73,88.17,-999.0,84.53,78.33,84.53,83.2,88.67,83.87,90.17,77.03,81.3,72.47,78.73,80.47,85.07,89.6,77.87,84.07,80.7,84.9,74.77,80.4,87.73,86.3,76.57,82.2,92.37,76.6,79.13,76.63,87.57,83.63,84.73,95.2,83.9,81.6,74.03,73.93,81.87,80.8,78.77
1911,-999.0,90.93,89.63,90.67,86.47,78.1,79.63,84.1,90.23,91.07,-999.0,86.97,75.83,87.07,85.57,91.73,87.43,91.13,78.33,84.67,75.0,78.67,78.8,89.53,90.57,74.43,88.3,77.73,86.83,76.4,81.93,84.37,84.03,78.17,84.1,93.73,76.73,81.1,77.83,91.4,83.93,87.43,94.8,81.47,85.77,76.43,75.2,79.93,83.9,76.37
1912,-999.0,88.73,88.27,89.57,84.43,75.97,78.47,81.87,89.23,88.57,-999.0,82.03,73.7,82.8,81.6,87.67,84.0,89.83,77.47,81.5,71.1,74.53,75.3,85.73,88.8,73.1,85.03,75.6,82.73,74.07,80.73,84.27,82.03,74.87,80.33,91.0,73.27,77.43,76.8,88.53,80.47,84.97,93.43,80.17,83.0,73.6,73.3,75.77,80.0,73.2
1913,-999.0,92.4,92.33,90.13,85.0,79.27,80.5,83.63,89.9,91.13,-999.0,86.93,74.77,89.27,87.7,94.0,89.9,90.57,79.07,83.67,73.8,79.17,78.93,92.53,92.4,76.13,86.13,79.97,88.5,76.87,82.6,84.6,80.9,78.0,85.03,94.63,74.5,80.97,77.67,90.27,84.9,90.47,92.67,80.9,83.63,76.23,74.77,79.43,83.0,76.2
