Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1895,-999.0,76.13,72.33,71.73,70.53,59.43,60.8,66.73,80.83,75.97,-999.0,60.03,55.07,62.9,63.43,68.07,68.33,78.53,59.57,66.03,53.8,55.03,52.63,67.03,76.37,53.17,71.87,51.5,62.97,55.83,64.53,65.47,62.9,56.73,63.03,72.13,56.27,60.93,61.17,75.7,58.5,70.73,75.87,58.57,68.63,54.03,54.63,54.53,66.27,53.43
1896,-999.0,77.97,73.07,71.27,69.87,57.37,59.47,66.03,82.57,77.47,-999.0,55.03,52.53,61.93,62.5,64.57,68.23,79.23,57.97,66.03,50.73,52.03,46.43,65.77,77.43,46.5,72.17,43.27,56.7,54.1,62.83,65.63,62.17,56.03,61.47,72.1,55.57,59.87,59.63,76.63,49.67,71.4,75.8,57.7,68.53,53.53,53.13,50.4,65.17,49.9
1897,-999.0,78.93,78.0,72.9,68.9,61.17,60.6,66.6,80.87,76.67,-999.0,65.77,54.93,69.67,69.2,72.2,73.77,81.0,59.33,66.27,53.33,57.9,55.43,73.87,80.03,53.1,73.13,55.63,65.47,55.5,63.5,67.9,61.8,57.97,67.73,77.6,56.37,62.0,60.37,76.4,61.33,75.47,80.27,58.53,69.87,54.67,54.53,58.13,68.33,55.77
1898,-999.0,72.9,71.13,75.6,71.87,57.63,60.57,66.2,80.6,72.83,-999.0,58.33,52.93,61.7,62.7,65.7,67.3,75.5,59.73,65.8,53.83,55.2,51.13,65.13,73.07,49.43,69.77,49.2,59.3,56.03,63.77,67.93,62.83,57.67,63.03,72.63,56.53,60.77,60.93,73.27,55.9,69.27,77.57,59.77,66.8,54.77,55.03,54.97,63.9,52.67
1899,-999.0,77.4,76.2,75.77,71.57,61.13,59.5,66.07,81.87,76.17,-999.0,65.83,56.27,67.17,66.87,72.07,70.9,79.83,58.3,65.8,52.93,57.07,56.33,71.87,78.73,56.23,72.0,55.6,67.33,54.2,63.0,68.63,64.0,56.9,65.63,76.1,58.43,60.77,60.0,75.13,62.6,72.83,79.07,60.87,68.33,53.67,57.6,58.57,66.5,55.43
1900,-999.0,77.9,75.43,73.4,69.87,60.8,63.57,69.1,83.03,77.4,-999.0,62.2,53.43,67.07,67.8,69.07,72.27,80.93,61.27,69.27,55.33,58.7,53.67,69.8,78.7,51.13,74.43,50.1,63.8,58.0,66.43,68.3,60.73,60.37,67.47,74.93,56.0,64.13,62.57,77.8,58.37,73.73,78.23,59.3,70.97,57.43,53.7,56.83,69.03,53.27
1901,-999.0,74.2,74.13,76.73,72.27,62.9,59.17,64.53,79.77,73.83,-999.0,61.73,56.57,65.2,64.33,69.87,67.37,78.03,57.93,63.83,52.2,55.83,53.53,69.87,75.33,54.4,68.83,53.63,64.3,54.4,61.9,69.27,64.6,55.1,62.6,75.73,58.7,58.67,59.4,73.2,60.27,68.57,79.2,62.63,65.1,53.1,57.43,55.4,62.87,55.3
1902,-999.0,76.53,72.63,75.1,70.8,60.27,61.77,67.83,82.43,76.13,-999.0,60.63,55.53,65.1,65.87,67.77,71.07,78.67,60.03,67.37,54.73,56.8,52.5,67.67,76.7,53.53,72.67,52.77,63.3,56.43,64.7,67.87,62.8,58.73,65.67,72.37,58.53,62.63,61.37,75.8,59.77,71.83,77.97,60.63,69.37,55.43,56.1,55.67,67.67,54.87
1903,-999.0,75.4,71.63,76.2,72.77,60.7,59.5,65.37,80.23,74.33,-999.0,59.03,54.3,62.97,63.63,67.23,68.37,77.87,58.5,64.63,53.5,55.47,51.93,65.63,76.43,52.7,69.13,51.53,62.63,55.1,62.1,69.63,64.8,56.13,63.4,72.2,58.27,59.5,59.47,72.83,58.0,70.47,77.13,61.5,66.07,54.4,54.13,54.6,64.07,53.63
1904,-999.0,78.43,74.77,75.03,72.17,61.8,57.87,64.33,81.03,76.57,-999.0,63.13,59.8,65.43,64.67,71.43,69.63,80.33,56.23,64.2,49.03,55.6,54.4,69.53,79.17,59.33,70.43,57.43,66.67,51.47,61.1,66.83,65.17,54.1,63.77,76.03,61.5,59.67,57.23,74.63,63.83,71.6,77.4,63.2,66.83,50.4,59.67,56.17,65.83,59.0
1905,-999.0,76.87,73.53,73.4,72.27,59.8,60.27,66.63,82.47,76.97,-999.0,60.93,55.1,64.97,64.87,68.8,68.83,78.9,58.53,66.0,51.73,56.33,53.7,67.37,77.1,54.0,71.87,55.03,63.77,54.33,63.4,65.9,63.53,56.4,62.73,74.3,57.9,60.3,59.73,76.2,60.23,71.6,77.47,59.63,67.87,53.4,54.13,55.77,64.47,54.3
1906,-999.0,76.67,71.77,74.1,71.93,57.37,61.2,65.93,81.77,75.77,-999.0,60.37,56.13,64.4,64.9,65.47,68.73,78.47,59.5,65.5,52.67,57.2,53.83,66.8,76.83,55.0,71.3,55.63,60.83,56.13,63.17,65.3,63.03,57.43,64.07,70.9,59.07,61.07,60.23,74.7,58.77,70.67,75.53,58.93,67.23,55.23,55.8,56.03,65.5,53.27
1907,-999.0,75.5,73.2,73.67,70.7,60.67,58.8,64.07,81.7,74.9,-999.0,60.1,58.03,62.53,61.4,68.8,67.17,77.9,57.03,63.43,51.37,53.53,52.8,67.03,76.27,56.93,70.07,54.57,64.43,52.7,61.33,65.63,64.0,54.27,60.6,73.37,60.73,57.87,58.43,74.07,60.43,69.63,76.2,61.93,65.87,51.93,58.87,53.67,62.27,55.9
1908,-999.0,77.53,73.9,74.1,71.0,58.43,62.4,66.7,80.77,75.77,-999.0,63.3,54.7,67.87,68.63,68.57,72.07,78.27,60.97,66.27,56.63,60.37,56.5,69.37,78.0,54.33,71.13,55.67,65.1,58.73,64.43,66.83,62.83,60.3,67.43,73.07,59.2,63.43,61.7,74.47,61.7,72.8,77.93,58.4,67.93,58.43,57.67,59.3,67.97,53.4
1909,-999.0,80.4,77.97,75.33,70.33,59.73,60.8,65.43,82.83,77.8,-999.0,61.23,54.97,65.73,65.47,70.37,70.87,82.7,59.73,65.43,53.9,56.57,53.87,71.07,81.17,55.07,71.6,55.37,64.07,56.17,62.87,69.07,64.0,57.17,64.47,77.17,58.7,61.1,60.7,75.4,59.73,73.43,80.77,61.37,67.87,55.0,56.73,56.27,66.03,55.37
1910,-999.0,77.97,75.6,76.97,72.03,62.9,60.23,65.37,81.07,76.87,-999.0,60.8,56.33,64.07,63.17,71.67,68.7,80.67,58.4,65.0,51.8,54.93,53.37,68.47,78.5,54.03,70.8,53.4,66.2,54.63,63.07,70.83,66.03,55.63,62.23,77.9,57.67,59.8,59.43,75.73,60.93,71.73,80.47,63.63,66.93,53.37,55.53,54.33,64.2,56.97
1911,-999.0,78.5,73.47,73.27,70.17,57.53,58.73,64.8,83.5,77.43,-999.0,57.17,51.87,61.77,62.27,67.77,68.5,79.83,57.07,64.37,51.03,53.23,48.03,66.27,78.43,48.53,71.53,47.77,59.97,53.8,61.83,66.57,62.47,54.97,61.77,74.47,55.87,59.17,58.7,75.67,53.4,72.37,78.2,59.03,66.87,52.83,54.27,51.17,64.5,50.87
1912,-999.0,76.63,75.1,72.23,69.37,57.27,61.67,67.43,81.37,76.03,-999.0,61.87,51.27,65.97,65.5,69.03,70.3,79.8,60.27,67.43,53.5,57.6,55.37,69.2,77.73,51.3,72.23,53.0,62.9,56.07,64.8,66.3,61.57,57.8,65.1,74.5,55.8,62.47,61.5,75.6,59.77,72.47,78.07,57.37,69.0,54.93,54.27,57.03,66.7,49.67
1913,-999.0,76.0,72.6,73.53,72.97,57.9,61.07,66.1,80.9,75.37,-999.0,62.23,54.37,65.3,65.2,67.5,69.6,77.17,59.77,65.83,55.13,57.47,54.43,68.0,76.23,54.2,70.47,54.63,63.67,57.37,64.0,66.17,63.53,58.8,63.77,71.3,58.0,61.47,60.73,73.87,60.57,71.87,75.5,59.6,67.33,56.9,55.23,56.8,64.67,52.43
1914,-999.0,75.03,73.43,75.67,72.43,62.8,62.57,66.93,80.37,74.27,-999.0,64.33,55.93,66.53,65.97,72.37,68.87,77.63,60.87,66.57,53.9,58.2,57.33,69.27,76.27,56.4,70.2,59.1,67.5,57.13,65.2,68.9,66.1,58.0,64.63,75.37,58.27,62.37,61.87,73.2,64.27,71.3,77.3,63.53,67.47,55.5,55.43,58.3,65.33,57.7
1915,-999.0,78.97,75.43,75.87,72.57,60.57,62.1,67.2,83.1,78.03,-999.0,62.73,54.5,67.07,66.73,70.7,71.3,81.07,61.2,66.97,54.4,57.4,54.23,70.8,79.73,53.1,73.27,53.67,64.93,57.37,65.17,69.47,65.6,58.77,65.4,75.57,58.13,62.43,61.63,77.0,60.0,73.57,79.73,61.83,68.8,56.83,55.1,56.33,67.57,54.07
1916,-999.0,77.7,74.9,72.83,68.7,57.43,61.7,66.2,81.1,76.3,-999.0,60.9,52.73,65.5,66.03,68.87,70.1,79.7,60.03,65.9,52.93,55.13,51.87,69.1,78.57,51.4,71.47,52.53,62.63,55.97,64.67,67.4,61.63,58.17,64.47,74.2,57.4,62.0,61.23,74.7,58.6,72.37,78.27,58.6,67.87,55.03,55.27,54.23,66.57,51.63
1917,-999.0,74.03,72.63,77.97,75.17,61.43,57.1,61.67,79.1,73.47,-999.0,58.93,59.27,61.63,61.43,68.53,65.77,77.37,55.73,61.6,49.97,51.97,50.77,66.27,75.23,57.07,67.57,53.8,63.8,52.57,60.13,70.73,68.0,52.87,59.33,74.07,62.27,56.53,56.8,71.93,59.83,68.53,79.63,64.07,63.67,51.1,59.17,52.13,61.4,57.17
