Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1900,2.926,3.436,5.87,0.722,0.0,0.0,-999.0,23.951,8.765,0.011,1.62,3.908,1.214,2.397,1.796,12.005,0.0,-999.0,0.001,0.974,0.815,14.132,3.171,0.073,1.904,0.097,1.0,1.873,-999.0,2.342,5.127,0.0,0.558,-999.0,0.005,0.0,0.0,19.304,1.614,3.337,16.13,0.975,0.5,1.212,0.305,0.0,0.558,0.004,-999.0,-999.0,-999.0,
1901,2.457,2.551,10.574,0.231,0.175,0.0,-999.0,20.94,5.167,0.011,3.441,3.526,3.018,7.847,4.691,8.475,0.0,-999.0,0.166,0.709,1.557,13.59,10.256,0.009,2.222,0.213,0.0,1.995,-999.0,2.212,4.482,0.138,1.945,-999.0,0.001,0.405,0.0,12.786,2.29,5.662,16.634,0.951,0.0,1.79,0.052,0.301,1.201,0.0,-999.0,-999.0,-999.0,
1902,12.752,1.804,7.502,0.191,0.0,0.0,-999.0,12.555,7.891,0.014,0.642,0.484,0.19,2.439,0.631,16.442,0.0,-999.0,0.001,0.16,0.059,18.179,1.163,0.004,0.492,0.233,0.0,0.691,2.148,0.434,4.097,0.0,0.377,-999.0,0.0,0.228,0.0,18.32,0.195,4.301,26.166,0.873,0.0,0.331,0.054,0.013,0.003,0.0,-999.0,-999.0,-999.0,
1903,2.635,0.459,6.271,0.285,0.054,0.0,-999.0,9.051,2.41,0.022,0.925,0.795,0.233,2.222,1.016,8.409,0.0,-999.0,0.001,0.186,0.077,6.915,0.536,0.014,0.925,0.097,0.0,0.73,0.0,0.579,4.193,0.0,0.292,1.56,0.004,0.107,0.0,12.544,0.261,1.257,12.221,0.98,0.0,0.801,0.163,0.035,0.158,0.0,-999.0,-999.0,-999.0,
1904,0.65,0.069,3.624,0.605,0.496,0.0,-999.0,5.227,2.365,0.009,0.241,0.343,0.196,2.82,0.089,2.383,0.0,0.0,0.001,0.129,0.054,4.959,0.77,0.014,0.626,0.039,0.0,0.68,0.527,0.445,1.123,0.0,0.134,0.0,0.005,0.803,0.0,7.878,0.318,1.244,9.735,0.63,0.0,0.15,0.046,0.025,0.212,0.004,-999.0,-999.0,-999.0,
1905,1.541,0.355,5.218,0.154,0.107,0.0,-999.0,14.72,2.503,0.01,0.714,0.957,0.451,3.405,0.325,19.394,0.0,0.0,0.001,0.218,0.221,10.581,1.151,0.022,0.557,0.213,0.333,1.358,2.132,0.851,2.86,0.0,0.048,0.0,0.004,1.104,0.0,11.847,0.172,1.437,18.258,0.938,0.0,0.115,0.171,0.544,0.107,0.0,0.0,-999.0,-999.0,
1906,2.425,0.693,1.764,0.259,0.004,0.0,-999.0,11.695,2.47,0.006,0.411,0.539,0.226,2.241,0.199,10.523,0.0,0.0,0.001,0.052,0.222,6.561,0.673,0.008,0.252,0.213,0.333,0.965,2.107,1.065,2.4,0.002,0.069,0.0,0.0,0.201,0.0,14.456,0.217,1.144,14.287,0.884,0.086,0.115,1.183,0.0,0.192,0.0,0.0,-999.0,-999.0,
1907,1.479,0.197,7.92,0.131,0.117,0.0,-999.0,11.396,2.342,0.0,0.644,0.498,0.276,2.091,0.541,16.928,0.0,0.0,0.001,0.039,0.125,8.59,2.582,0.004,0.738,0.213,0.0,0.372,0.373,0.854,1.989,0.002,0.16,-999.0,0.001,0.01,0.0,12.934,0.275,4.079,22.652,0.848,0.086,0.22,0.106,0.0,0.047,0.0,0.0,-999.0,-999.0,
1908,2.167,0.871,3.559,0.478,0.073,0.0,-999.0,7.14,1.324,0.286,0.554,0.724,0.277,1.301,0.108,12.188,0.0,0.0,0.168,0.169,0.23,6.666,1.094,0.008,0.432,0.097,0.0,0.372,0.243,1.727,1.724,0.106,0.127,1.56,0.0,0.01,0.0,11.405,0.241,2.059,12.585,0.837,0.086,0.179,0.167,0.0,0.097,0.0,0.0,-999.0,-999.0,
1909,3.652,0.373,12.629,0.428,0.209,0.0,-999.0,17.488,2.804,0.0,1.423,0.682,0.722,1.989,0.504,24.474,0.0,0.0,0.001,0.088,0.215,14.816,3.291,0.055,1.105,0.097,0.0,0.372,1.075,0.817,1.337,0.0,0.199,0.613,0.0,0.001,0.0,11.209,0.506,3.644,29.207,0.857,0.0,0.15,0.01,0.0,0.112,0.0,0.0,-999.0,-999.0,
1910,0.909,0.495,5.351,0.143,0.004,0.0,-999.0,6.418,1.958,0.011,0.536,0.639,0.612,2.939,0.425,10.459,0.0,0.0,0.001,0.186,0.09,6.858,2.388,0.266,0.899,0.126,0.0,1.688,1.364,0.79,1.238,0.007,0.346,12.924,0.0,0.201,0.0,9.448,0.308,1.655,28.545,1.298,0.0,0.185,0.009,0.0,0.244,0.0,0.0,-999.0,-999.0,
1911,2.476,0.234,6.115,0.305,0.362,0.0,-999.0,11.447,2.836,0.143,1.203,1.724,3.295,4.08,0.254,8.719,0.0,0.0,1.825,0.707,0.711,8.568,3.784,0.008,1.69,0.097,0.0,1.737,1.701,1.105,2.11,0.257,0.167,4.562,0.135,0.399,0.0,12.478,1.561,1.751,32.223,0.755,1.0,0.185,0.175,0.0,0.838,0.0,0.0,-999.0,-999.0,
1912,3.9,0.634,4.21,0.454,0.01,3.0,-999.0,22.236,3.914,0.0,1.411,0.907,0.932,3.058,0.795,14.771,0.25,0.0,0.496,0.148,0.081,10.65,2.908,0.183,1.338,0.213,0.0,0.372,0.284,0.524,2.135,0.007,0.13,1.97,0.0,0.001,0.0,13.332,0.692,3.29,23.601,0.92,0.086,0.115,0.081,0.0,0.098,0.0,0.0,-999.0,-999.0,
1913,1.766,0.587,4.063,0.696,0.055,0.0,-999.0,9.553,3.799,0.001,3.891,3.86,2.535,8.673,1.258,8.861,0.0,0.0,0.001,0.304,0.816,5.511,5.154,0.052,1.92,0.097,0.0,3.063,0.757,0.464,3.026,0.0,0.384,7.459,0.221,0.723,0.0,11.09,1.969,2.167,15.436,0.98,0.086,0.447,0.083,0.2,0.292,0.0,0.0,-999.0,-999.0,
