Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1895,-999.0,30.1,24.6,31.4,34.8,7.4,11.05,18.6,42.9,31.55,-999.0,1.5,12.55,8.05,9.85,12.5,16.7,34.85,10.1,17.55,0.4,2.9,-8.9,12.8,29.95,1.1,24.1,-8.25,5.7,2.9,14.9,19.4,18.0,6.55,11.1,19.45,21.9,9.9,14.6,29.45,-1.6,22.05,28.95,14.1,18.45,1.9,23.7,-2.7,14.1,2.65
1896,-999.0,34.37,31.83,30.27,34.37,11.5,17.27,26.03,44.47,34.83,-999.0,14.27,18.0,21.73,21.93,21.23,26.87,39.27,16.53,25.27,4.73,12.9,1.8,24.2,35.47,10.1,29.97,0.8,15.4,8.8,21.73,20.53,21.03,13.3,22.47,27.53,25.87,19.77,19.9,33.53,8.73,29.87,33.77,16.67,26.17,7.53,26.23,8.9,23.57,9.3
1897,-999.0,35.9,32.63,31.2,35.03,11.97,16.7,24.27,47.13,36.47,-999.0,14.3,18.0,21.5,21.27,21.5,26.2,40.27,15.87,23.83,4.1,13.43,0.5,24.17,36.0,11.17,29.6,-0.4,15.03,8.27,20.47,22.27,23.07,13.0,21.83,27.03,26.97,19.2,18.7,33.73,7.67,28.97,34.5,17.63,25.13,6.5,25.5,9.5,22.4,9.7
1898,-999.0,36.63,32.97,27.5,32.13,9.7,19.3,27.07,46.57,36.8,-999.0,11.07,14.7,20.7,22.73,20.0,28.53,42.73,17.97,26.3,5.7,12.5,1.0,23.17,37.97,11.97,31.43,1.7,14.13,9.93,23.6,20.9,18.73,15.4,23.3,27.5,25.27,21.37,21.47,34.73,9.03,31.4,34.77,10.7,27.5,8.53,24.97,7.47,24.67,6.33
1899,-999.0,31.4,25.5,26.83,33.13,5.57,15.73,22.27,47.4,35.07,-999.0,5.23,13.63,14.1,16.0,13.0,20.5,36.2,15.1,21.37,2.87,6.57,-6.3,15.67,31.03,4.77,28.77,-4.7,5.3,7.0,19.07,17.27,21.2,11.27,16.73,20.17,23.2,15.47,18.13,33.2,0.83,24.4,28.83,14.33,23.27,6.13,21.7,-0.87,18.67,3.33
1900,-999.0,32.7,30.23,31.2,35.4,12.6,17.83,24.53,45.73,33.7,-999.0,9.8,16.9,17.6,19.13,18.9,23.77,39.03,17.23,23.63,6.77,11.13,0.03,19.5,33.77,11.47,28.43,-0.63,12.23,9.27,21.2,22.33,23.5,14.13,19.5,26.73,25.5,18.77,19.8,32.47,6.47,27.07,35.3,18.23,24.43,8.23,27.1,5.6,21.17,9.47
1901,-999.0,34.17,31.73,30.63,34.23,11.83,15.23,23.13,45.23,34.43,-999.0,11.63,18.13,17.93,18.5,18.1,24.9,40.23,14.33,22.9,2.73,9.97,0.07,22.2,35.23,11.33,28.3,1.07,12.87,6.03,19.73,21.83,22.17,10.87,18.23,26.8,25.83,17.3,17.43,32.53,8.67,27.87,34.57,18.6,24.4,4.1,26.57,5.57,21.13,10.9
1902,-999.0,30.67,26.43,29.13,33.17,13.17,15.83,22.17,42.6,31.33,-999.0,8.97,17.5,14.13,15.07,16.5,21.1,36.0,15.27,21.47,5.8,10.3,1.47,17.1,31.2,11.87,26.47,2.3,11.63,8.2,19.27,21.57,22.4,11.5,16.23,23.27,25.33,15.7,18.2,29.97,8.07,24.0,32.77,18.6,22.5,6.5,26.03,5.37,18.9,11.43
1903,-999.0,35.0,30.2,28.03,31.0,8.73,16.6,25.17,48.77,35.7,-999.0,10.4,13.0,18.07,19.17,17.4,26.13,39.43,15.73,24.47,3.5,11.4,-2.3,21.23,35.73,7.53,30.83,-5.13,10.4,8.27,21.43,20.57,17.97,13.57,20.03,26.03,21.97,18.13,18.93,34.9,2.93,28.8,34.5,11.83,26.1,7.0,23.43,5.03,22.63,5.67
1904,-999.0,31.53,28.23,27.73,32.57,11.57,9.7,19.23,43.63,31.2,-999.0,4.5,15.97,11.67,11.73,16.93,21.27,37.77,8.83,18.23,-1.4,1.9,-8.93,18.27,32.87,9.6,25.03,-6.03,10.87,2.2,14.9,19.67,19.63,5.43,12.17,25.17,24.9,11.0,12.4,29.2,2.63,25.2,33.53,14.43,20.0,0.2,25.57,-3.57,16.03,10.57
