Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1895,-999.0,68.2,67.87,62.33,56.47,47.2,56.8,62.9,70.9,68.07,-999.0,57.77,44.73,61.3,60.33,61.67,63.13,71.3,56.0,62.0,50.77,52.03,52.0,63.47,69.5,45.2,64.73,49.5,55.53,52.37,60.0,54.5,52.6,54.47,58.67,67.1,45.27,56.0,58.03,68.77,51.93,64.37,68.07,51.97,61.57,51.7,47.67,53.33,57.83,44.23
1896,-999.0,69.33,68.83,65.03,58.83,50.33,57.6,63.4,71.97,69.73,-999.0,58.8,48.5,62.13,61.13,62.87,63.7,71.47,56.57,62.83,50.1,53.57,53.03,64.3,69.77,47.93,66.1,51.87,57.27,52.7,60.57,57.43,55.5,55.23,60.17,67.63,47.83,57.17,58.3,69.83,54.4,65.17,69.47,54.9,63.0,51.97,49.27,54.67,59.97,46.93
1897,-999.0,68.87,67.53,62.87,57.77,47.9,56.53,62.3,71.6,69.1,-999.0,58.4,45.4,61.23,60.17,62.73,62.97,71.4,55.43,61.53,49.9,52.37,53.03,63.7,69.5,47.83,65.07,51.63,56.4,52.03,59.33,56.07,53.67,54.67,58.7,66.77,47.33,55.9,56.73,68.97,54.47,64.17,68.17,51.83,62.17,52.07,48.1,53.7,59.0,45.37
1898,-999.0,68.93,68.4,65.7,57.23,49.97,58.63,65.37,70.93,69.73,-999.0,59.7,47.23,62.47,61.87,63.33,64.73,71.63,57.53,64.53,52.13,53.2,53.17,65.03,69.73,48.83,66.3,52.1,57.97,53.6,62.03,57.33,55.03,57.23,61.57,67.17,47.07,59.3,59.23,69.63,54.93,65.5,68.6,53.7,63.9,53.2,49.1,54.5,60.97,46.73
1899,-999.0,68.8,68.07,63.27,54.93,48.73,56.73,64.4,71.0,68.83,-999.0,60.23,44.13,62.33,62.13,63.7,64.13,71.37,56.33,63.7,50.57,53.57,54.5,64.6,69.7,46.9,65.67,52.2,57.73,51.8,61.07,56.57,51.27,55.43,60.23,68.23,44.13,57.7,57.87,69.4,55.13,65.17,69.6,51.77,63.43,51.6,46.83,55.4,59.57,44.53
1900,-999.0,68.47,68.4,62.2,56.2,48.43,58.07,65.73,71.1,68.83,-999.0,61.0,45.47,63.2,63.23,63.9,65.63,72.07,56.63,64.47,51.5,54.23,55.1,65.07,69.73,48.87,66.7,54.43,59.27,52.63,62.1,56.3,53.03,56.6,61.43,67.67,46.43,59.3,58.33,69.6,57.7,66.2,70.0,52.6,64.43,52.23,48.37,56.1,60.87,48.37
1901,-999.0,68.03,68.07,64.07,56.8,50.17,58.87,65.67,70.83,68.43,-999.0,61.87,46.27,63.17,63.2,65.1,65.1,71.53,57.4,64.63,52.0,55.23,55.9,65.93,69.4,48.37,66.4,54.0,59.73,54.23,62.73,56.97,53.4,57.83,62.23,68.83,45.8,59.93,59.13,69.2,57.7,65.47,70.67,53.93,64.23,53.7,46.37,56.43,61.03,48.63
1902,-999.0,69.3,68.03,62.27,55.73,48.37,54.67,61.47,70.73,68.6,-999.0,58.23,43.9,60.57,59.73,62.7,62.73,71.8,53.2,61.03,47.7,51.67,52.1,63.53,69.73,45.73,64.43,50.27,56.53,49.47,58.5,55.87,52.0,53.6,58.1,67.63,44.27,56.0,54.83,68.1,53.37,64.27,70.63,51.43,61.1,49.3,45.87,53.1,57.23,45.53
1903,-999.0,66.8,65.1,63.77,55.67,48.53,53.97,61.33,70.13,67.4,-999.0,57.37,46.07,59.37,58.53,61.13,62.0,69.27,52.67,61.0,47.43,51.1,50.8,61.83,67.4,47.73,64.17,50.87,56.4,48.9,58.43,55.77,52.4,52.4,57.57,65.3,45.87,55.63,54.8,67.7,54.2,62.8,67.6,53.07,61.1,48.43,48.57,51.87,57.33,46.5
1904,-999.0,66.37,66.03,62.77,57.03,47.6,55.9,61.97,68.7,66.53,-999.0,56.83,45.5,58.7,58.2,61.33,62.0,69.67,54.53,61.37,49.9,51.17,51.57,61.77,67.53,46.8,63.83,49.6,55.8,50.73,59.57,55.6,53.07,54.13,57.5,66.3,45.97,56.2,56.27,66.43,52.97,62.63,68.1,52.33,61.43,49.83,47.73,51.83,57.33,45.5
1905,-999.0,68.23,67.77,61.63,55.93,48.93,56.37,62.97,71.07,68.27,-999.0,59.97,46.27,61.37,61.0,63.03,63.93,72.03,55.07,62.63,49.33,53.2,53.67,63.83,69.37,48.5,64.73,52.4,57.6,50.63,60.37,55.37,51.67,55.23,60.2,67.3,46.67,57.93,57.0,67.7,54.57,64.57,69.27,52.23,62.9,50.53,48.37,54.4,59.43,46.97
1906,-999.0,68.27,65.83,61.97,57.5,47.23,58.27,65.53,71.27,68.8,-999.0,58.5,46.43,60.77,60.93,60.33,64.4,71.23,56.8,64.7,50.77,54.33,53.87,62.3,68.57,48.17,66.4,53.37,54.87,52.23,62.9,55.0,52.3,56.27,60.73,65.4,47.27,59.13,58.43,69.07,54.1,64.07,68.13,52.27,64.3,51.57,48.93,54.57,61.07,45.7
1907,-999.0,67.0,67.7,60.93,55.4,48.23,54.77,60.97,69.77,67.37,-999.0,58.9,44.47,60.7,59.07,62.77,62.27,71.2,53.83,59.97,50.13,51.57,52.7,63.63,68.3,46.43,63.27,51.37,56.83,50.13,57.93,54.9,49.1,52.9,57.67,67.37,45.4,54.4,55.43,67.13,54.0,63.1,68.63,50.77,60.3,49.4,47.13,53.07,57.0,45.0
1908,-999.0,67.37,67.33,61.7,56.07,48.27,57.83,62.8,69.97,67.53,-999.0,58.4,45.73,60.7,59.7,62.3,62.93,71.67,56.07,62.07,50.77,53.17,53.03,63.07,68.57,47.23,64.07,51.23,56.33,51.43,60.03,54.97,51.6,54.83,58.53,66.5,46.43,56.47,57.7,67.4,53.63,63.7,68.6,51.4,61.83,50.73,47.8,53.53,58.1,45.67
1909,-999.0,68.63,68.43,63.07,56.3,50.7,55.5,61.43,71.3,68.4,-999.0,60.97,46.03,61.97,60.97,64.33,63.97,72.53,54.43,61.17,48.83,53.5,55.43,64.63,69.97,49.17,63.9,54.63,59.53,49.67,58.37,57.23,52.77,53.43,59.4,68.73,44.97,55.43,55.97,67.77,57.87,64.57,69.97,54.3,61.23,49.2,45.77,55.1,58.2,48.6
1910,-999.0,66.97,66.83,63.53,55.7,49.5,56.13,62.23,69.5,66.93,-999.0,58.5,44.9,60.13,58.37,62.2,61.73,70.87,55.3,61.87,50.5,52.7,53.0,62.57,68.13,47.6,64.27,52.37,56.6,50.67,59.1,57.23,52.27,53.87,57.8,67.6,44.6,55.83,56.77,66.87,54.77,63.07,69.33,54.17,61.43,50.53,45.93,53.77,57.63,46.87
1911,-999.0,67.6,67.83,62.1,55.63,49.43,57.0,63.8,69.87,67.57,-999.0,60.23,45.6,61.97,60.47,63.6,63.27,71.67,56.0,63.3,51.9,54.3,53.53,64.77,69.0,47.17,65.13,51.93,57.67,51.77,60.73,56.4,51.63,55.53,60.07,68.9,45.7,57.9,57.27,67.73,55.3,64.0,69.93,52.67,62.37,51.3,47.37,54.87,58.73,46.5
1912,-999.0,67.17,66.37,61.07,55.4,48.2,55.0,61.7,70.77,67.37,-999.0,58.0,45.43,60.4,59.57,61.93,62.3,71.13,54.33,60.93,48.97,51.7,52.0,62.97,68.23,47.3,63.93,51.77,56.33,49.37,58.3,55.23,50.63,52.4,58.4,66.7,46.1,55.1,55.9,67.07,54.4,63.3,68.5,51.97,60.93,48.27,48.3,52.73,57.53,46.23
