Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1895,-999.0,50.67,49.13,42.97,42.5,27.47,33.87,40.5,57.8,51.37,-999.0,35.93,28.1,39.53,38.8,40.3,42.57,54.8,33.53,40.33,25.8,28.3,29.07,42.73,51.6,27.47,44.43,28.6,34.23,28.67,36.87,37.03,33.07,30.8,37.07,46.73,31.2,34.97,35.53,48.87,31.47,44.8,50.3,32.2,41.23,27.67,33.43,30.27,38.23,25.1
1896,-999.0,53.57,52.53,43.4,41.37,28.43,34.03,42.47,57.73,53.7,-999.0,37.83,27.13,43.17,42.37,41.87,45.47,57.8,33.53,42.5,24.4,32.3,28.53,45.43,55.1,24.87,48.63,26.2,34.63,28.37,38.43,36.93,31.47,32.0,40.9,47.77,31.2,36.8,35.27,52.57,29.63,48.4,53.67,31.67,44.2,27.6,32.13,32.73,41.6,24.13
1897,-999.0,52.13,50.27,42.33,42.17,28.97,35.1,41.17,59.37,52.63,-999.0,34.3,29.4,38.77,38.13,39.73,42.97,58.1,34.33,40.9,26.9,28.6,25.73,42.2,53.4,25.97,46.2,23.87,33.33,29.73,38.23,37.17,33.63,32.47,38.0,46.37,33.63,35.97,36.13,50.47,28.53,46.13,51.77,32.63,42.3,28.87,34.0,28.67,39.23,24.8
1898,-999.0,51.7,49.57,43.43,41.23,27.53,36.13,42.4,57.83,52.17,-999.0,36.0,27.77,40.7,40.77,38.9,44.6,55.67,35.23,42.6,28.13,30.83,28.43,42.83,52.63,26.03,47.03,25.6,32.77,30.27,39.43,36.97,33.63,34.77,39.83,46.17,31.3,38.13,36.93,51.07,29.33,46.57,52.17,31.67,43.7,30.3,33.3,31.47,41.03,25.77
1899,-999.0,52.63,50.07,41.13,40.97,27.6,33.57,40.7,58.83,52.57,-999.0,32.7,27.73,39.37,40.1,37.77,44.53,57.2,32.93,41.03,25.23,28.73,23.07,41.4,53.6,22.43,46.2,20.3,30.67,27.03,37.4,36.27,32.9,32.4,39.9,46.03,31.6,36.63,34.63,50.57,25.0,47.1,52.47,31.9,42.77,27.0,32.63,27.37,40.87,24.1
1900,-999.0,50.43,48.7,44.63,42.87,29.87,32.33,39.67,58.2,51.0,-999.0,36.53,32.0,38.93,38.3,41.2,41.73,56.0,30.97,39.5,24.13,28.67,28.97,42.13,51.57,31.77,44.87,29.23,36.17,25.17,36.13,36.9,35.87,29.23,36.73,47.2,34.9,33.93,33.2,49.13,32.77,44.73,52.83,34.2,40.97,24.6,36.6,30.13,37.6,29.33
1901,-999.0,48.13,46.53,41.63,41.23,28.07,35.13,41.2,54.2,48.43,-999.0,35.97,29.83,38.27,37.9,38.1,41.27,52.1,34.37,41.0,28.3,29.8,30.1,41.03,48.77,30.57,44.57,30.93,34.6,30.6,38.1,35.5,34.4,33.1,37.23,44.37,32.33,36.37,35.9,47.6,33.07,43.33,49.9,32.5,41.5,29.77,34.33,30.57,38.13,28.8
1902,-999.0,52.13,50.73,42.07,40.0,28.7,36.43,41.97,57.77,51.4,-999.0,37.8,28.93,41.37,40.9,42.4,44.27,57.73,36.2,41.9,29.7,32.43,31.1,44.53,53.87,28.63,46.3,30.1,36.07,31.93,39.4,36.47,33.2,34.5,39.07,48.57,32.5,37.03,37.6,49.93,32.5,46.87,54.4,32.47,42.73,30.97,34.9,33.07,38.67,26.87
1903,-999.0,52.47,49.97,42.63,41.23,27.33,37.5,43.97,58.47,52.8,-999.0,38.67,27.8,42.5,42.4,39.67,46.3,56.33,36.4,43.63,29.07,33.33,30.37,44.47,53.2,25.2,48.87,26.5,34.43,31.4,41.33,35.33,33.7,35.6,41.73,46.17,31.37,39.1,38.33,52.67,31.1,48.17,51.47,31.77,44.53,31.07,32.6,33.77,42.27,24.87
1904,-999.0,49.77,47.4,43.63,43.07,29.5,33.63,40.13,57.1,49.77,-999.0,34.33,29.67,38.03,37.9,38.73,41.9,55.1,33.3,39.93,27.43,28.3,26.63,40.57,51.33,26.13,44.67,25.2,32.67,29.33,37.27,37.87,34.67,31.8,37.23,46.4,33.7,35.3,35.1,48.57,29.67,44.23,53.03,33.93,40.93,28.57,33.77,28.47,38.03,27.4
