Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1895,-999.0,61.64,58.86,58.49,56.46,42.43,46.6,52.71,68.72,62.03,-999.0,46.12,41.41,49.72,49.9,52.38,53.68,64.78,45.88,52.08,39.37,41.72,38.61,52.93,62.15,38.99,56.86,37.17,46.68,41.53,49.81,51.17,48.23,43.46,48.97,57.82,44.27,46.65,47.73,61.0,42.42,56.17,62.33,45.25,53.24,40.57,45.15,41.28,50.35,37.86
1896,-999.0,64.27,62.08,59.98,57.47,44.88,46.83,53.88,69.93,64.43,-999.0,47.4,42.78,52.2,51.9,54.67,56.02,67.24,46.04,53.73,38.33,43.06,38.73,55.38,64.69,39.43,59.23,36.43,47.86,41.6,50.52,53.79,49.75,44.06,50.9,60.62,45.63,48.03,47.68,63.38,42.52,58.6,65.07,47.2,55.31,40.73,45.41,42.43,52.58,39.82
1897,-999.0,64.19,61.3,58.62,56.46,44.03,47.28,53.61,70.43,64.17,-999.0,46.57,42.57,51.4,51.24,53.97,55.93,67.29,46.38,53.15,38.97,42.51,38.57,54.73,64.73,39.85,58.88,37.43,47.59,41.91,50.53,52.48,48.72,44.35,50.62,59.54,45.67,47.91,47.6,62.93,42.6,58.57,64.41,45.77,55.29,41.07,45.33,41.94,52.21,39.66
1898,-999.0,62.98,60.44,59.02,56.7,42.72,48.21,54.75,70.07,63.56,-999.0,46.71,41.71,51.3,51.86,52.63,56.13,65.96,47.18,54.38,40.16,43.48,39.59,54.12,63.43,39.84,58.98,38.47,47.12,42.78,51.61,52.09,48.52,45.95,51.41,58.68,45.05,49.22,48.82,62.83,43.54,58.26,63.88,45.07,55.54,42.26,45.68,42.9,52.52,39.19
1899,-999.0,63.1,59.97,59.17,56.56,43.17,47.05,53.27,70.37,63.65,-999.0,46.45,41.52,50.82,51.35,52.82,55.27,66.08,46.4,53.01,39.32,42.31,38.33,53.57,63.5,38.1,58.38,36.25,46.36,41.6,50.33,52.51,48.73,44.67,50.81,58.84,44.27,47.93,47.78,62.59,41.77,57.67,64.0,46.15,54.63,41.15,45.08,41.48,51.75,38.48
1900,-999.0,63.41,61.23,60.07,57.49,45.41,48.44,55.17,69.91,63.67,-999.0,48.42,43.98,52.09,52.37,54.7,56.57,66.75,46.98,54.75,39.91,43.72,41.22,55.18,63.95,42.85,59.43,40.62,49.79,42.03,51.92,53.72,50.35,45.19,51.45,60.31,46.66,49.22,48.64,63.03,46.17,58.51,64.79,48.22,56.09,41.1,47.0,43.43,53.07,42.37
1901,-999.0,61.39,60.24,59.94,57.24,45.11,46.56,52.85,67.98,61.4,-999.0,47.95,43.18,50.78,50.43,54.2,54.37,65.42,45.56,52.32,39.33,42.62,40.11,54.95,62.36,41.8,56.89,40.02,48.66,41.64,49.88,53.43,49.83,43.87,49.48,60.13,45.71,47.24,46.93,60.71,45.58,56.16,65.03,47.94,53.41,40.78,45.83,42.38,50.51,41.15
1902,-999.0,63.58,59.73,59.65,56.17,44.69,47.17,53.5,69.89,63.35,-999.0,46.59,41.94,50.62,51.01,53.04,55.47,66.6,46.05,53.04,39.44,43.32,40.09,53.57,64.05,39.81,58.19,38.2,47.34,41.73,50.57,53.1,48.9,44.14,50.1,59.08,44.96,47.65,47.55,62.1,43.3,57.61,65.35,47.0,54.43,40.64,45.28,42.62,51.3,40.1
1903,-999.0,61.98,58.48,58.99,56.21,42.79,46.88,53.15,68.97,62.37,-999.0,46.24,41.06,50.16,50.25,52.13,54.82,64.67,45.91,52.67,39.3,42.4,38.02,52.97,62.48,39.92,57.87,37.47,46.79,41.52,50.33,51.75,48.13,44.06,49.84,57.78,44.93,47.57,47.28,61.54,42.7,56.81,62.66,45.2,54.03,40.71,44.91,41.16,51.01,38.83
1904,-999.0,62.77,59.53,59.65,57.42,44.73,44.32,50.92,69.26,62.41,-999.0,45.27,43.25,48.85,48.66,53.02,54.24,66.13,43.28,50.58,36.52,39.81,37.3,52.72,63.49,40.86,56.47,36.93,47.81,38.77,47.82,52.98,49.7,41.28,47.92,59.67,46.62,45.34,44.77,60.8,43.14,56.68,64.73,47.23,52.58,37.64,46.63,39.61,50.06,41.09
1905,-999.0,62.63,58.75,58.78,57.07,43.49,46.28,52.81,70.05,63.05,-999.0,46.25,42.19,50.3,50.26,52.28,54.77,65.65,45.12,52.46,37.89,42.02,39.09,52.85,62.94,40.59,57.66,38.92,46.73,40.35,49.82,51.68,48.6,43.16,49.33,57.82,45.74,47.1,46.62,61.91,43.08,56.95,63.18,46.28,54.01,39.46,45.9,41.23,51.06,39.63
1906,-999.0,63.27,59.52,59.02,57.18,43.96,47.66,54.46,69.64,63.31,-999.0,47.47,42.95,51.41,51.37,53.03,55.82,66.37,46.5,54.03,38.92,43.76,39.91,53.75,63.65,41.47,58.72,39.43,47.72,41.62,51.46,52.21,48.91,44.61,50.89,58.37,46.69,48.62,47.97,62.53,43.97,57.68,63.59,46.82,55.16,40.72,46.9,42.64,52.61,40.04
1907,-999.0,63.72,61.11,59.45,56.52,45.12,45.62,52.0,70.54,63.95,-999.0,46.39,42.68,50.47,49.75,53.62,55.21,67.72,44.58,51.57,37.43,41.03,37.49,54.23,64.52,39.23,57.82,36.63,47.53,39.79,48.8,53.17,48.91,42.52,48.94,60.03,46.19,46.16,46.0,62.5,42.81,57.93,65.62,47.93,53.68,38.82,45.24,40.64,50.76,40.42
1908,-999.0,64.04,61.38,58.72,56.23,43.62,48.22,54.02,70.29,64.06,-999.0,48.33,42.05,52.29,52.12,54.54,56.47,67.5,46.91,53.45,39.75,44.06,41.13,55.28,64.72,41.5,58.61,40.27,48.85,42.29,51.26,52.08,48.51,44.78,51.32,59.99,45.83,48.47,48.42,62.9,45.11,58.62,64.99,45.6,54.77,41.33,45.88,43.63,52.18,39.79
1909,-999.0,63.85,61.29,58.46,56.22,43.3,47.37,53.43,70.17,63.55,-999.0,46.3,42.12,50.9,50.61,53.23,55.64,67.27,46.24,53.15,39.33,42.89,38.7,54.58,64.43,39.27,58.23,37.91,46.87,41.57,50.57,52.43,49.05,44.06,50.23,60.07,45.19,47.88,47.61,62.43,42.66,58.08,65.38,46.43,54.72,40.48,44.29,41.83,51.87,39.52
1910,-999.0,62.67,60.13,61.18,57.66,46.1,47.57,53.33,68.16,62.42,-999.0,47.59,43.35,50.84,50.15,54.71,54.43,66.52,46.5,53.02,40.06,43.32,40.78,54.09,63.45,42.52,57.7,40.48,49.3,42.07,50.45,54.68,50.39,44.13,49.62,60.71,46.13,47.63,47.86,61.64,45.23,56.76,65.4,48.97,54.08,40.97,46.02,42.87,51.19,42.27
1911,-999.0,65.33,62.05,58.77,55.38,44.4,47.68,54.52,71.26,65.05,-999.0,48.4,40.77,52.72,52.29,54.82,57.21,68.77,46.56,54.36,39.47,44.12,39.6,56.08,65.86,38.72,59.78,37.74,48.63,42.04,51.27,53.01,47.51,44.93,51.84,61.42,44.27,49.11,47.89,63.82,44.07,59.66,65.76,46.56,55.84,41.06,44.67,43.18,53.41,39.63
1912,-999.0,62.12,58.51,57.2,55.54,41.78,46.57,52.95,70.03,62.46,-999.0,45.21,40.96,49.37,49.0,51.61,53.83,65.39,45.76,52.51,38.49,40.86,38.01,52.44,62.25,39.43,57.75,37.73,46.0,40.83,50.04,50.75,47.62,42.97,48.78,57.81,44.73,46.96,47.14,61.61,42.79,56.32,63.13,45.38,53.9,39.6,45.53,40.01,50.58,38.01
1913,-999.0,63.61,60.62,57.48,56.45,42.81,49.18,55.59,69.99,63.66,-999.0,48.63,41.04,52.76,52.48,54.18,56.93,66.08,48.04,55.1,41.0,44.09,40.02,55.49,63.83,39.75,59.38,39.42,48.15,43.61,52.81,50.97,47.75,46.09,51.52,59.29,44.7,49.62,49.38,62.83,44.56,58.74,63.23,45.82,56.03,42.76,44.67,42.86,52.81,39.21
1914,-999.0,62.83,60.31,59.92,57.38,44.41,46.38,53.1,69.07,62.76,-999.0,48.18,42.77,51.96,51.22,54.65,55.39,65.84,45.24,52.57,37.65,42.83,39.88,55.0,63.25,41.46,57.8,39.82,48.85,40.41,49.83,52.85,49.73,42.93,49.93,59.98,46.4,46.94,46.87,61.43,44.88,57.72,63.66,47.51,54.02,39.32,46.54,42.19,50.78,40.91
1915,-999.0,63.2,59.75,58.22,56.74,43.16,47.88,53.72,69.11,63.35,-999.0,46.71,43.1,50.9,50.67,52.34,55.36,66.06,46.93,53.17,40.91,42.78,40.19,53.88,63.45,41.17,58.15,39.24,46.34,42.82,50.98,51.35,49.59,44.57,49.75,58.54,46.6,47.82,48.13,61.83,42.72,57.63,63.78,46.99,54.32,42.03,46.91,42.07,51.36,40.1
1916,-999.0,63.44,60.78,58.78,55.58,43.48,46.42,53.05,69.61,63.59,-999.0,46.3,40.18,51.13,51.09,52.89,55.34,66.8,45.34,52.65,39.36,42.28,37.16,54.33,63.75,37.16,58.54,35.73,46.67,41.13,49.85,53.18,47.7,43.77,49.87,59.55,43.69,47.47,47.16,62.47,41.54,57.7,65.28,45.98,54.47,40.4,42.97,40.77,51.47,38.18
1917,-999.0,61.85,58.34,58.66,56.63,42.91,44.76,51.43,68.77,61.97,-999.0,43.96,41.5,48.33,48.07,51.99,52.58,65.12,43.73,50.9,36.94,39.02,35.68,51.83,62.15,38.91,56.38,35.92,45.89,38.87,48.33,52.51,48.14,41.08,46.84,57.95,45.49,45.18,45.57,60.66,40.98,55.35,64.32,45.82,52.24,37.93,45.46,37.97,48.83,38.58
1918,-999.0,63.78,60.52,58.82,56.84,43.77,46.86,53.42,69.83,63.59,-999.0,48.12,43.09,51.27,51.1,53.97,55.52,66.77,45.71,53.17,38.46,42.57,40.12,54.71,64.12,41.28,58.39,39.42,48.48,40.97,50.43,52.25,49.38,43.8,50.42,59.72,46.6,48.08,47.3,62.29,44.28,58.04,64.47,47.45,54.29,40.25,46.81,42.18,51.61,40.19
1919,-999.0,64.09,60.74,58.08,56.28,43.26,47.98,54.45,70.4,64.4,-999.0,47.52,41.86,52.09,52.29,52.67,56.66,66.82,47.04,54.11,39.86,44.1,39.23,54.67,64.27,40.5,59.3,38.32,47.19,42.69,51.56,51.56,49.23,45.13,51.28,58.73,44.99,49.02,48.21,63.27,43.44,58.77,63.32,46.66,55.41,41.58,44.78,42.38,52.43,40.33
1920,-999.0,62.3,59.72,57.79,56.09,43.19,46.44,52.94,68.9,62.35,-999.0,47.06,41.77,50.82,50.38,53.16,54.53,65.84,45.56,52.53,39.35,42.39,39.67,53.72,62.97,40.53,57.47,39.2,47.58,41.36,50.06,51.96,48.93,43.45,49.23,58.87,45.23,46.95,46.97,61.27,43.77,56.92,63.76,46.12,53.47,40.56,45.45,41.74,50.31,39.31
1921,-999.0,65.71,63.32,59.93,57.31,46.0,49.32,56.23,70.96,65.43,-999.0,51.03,43.23,55.0,54.93,56.45,58.7,68.92,48.16,56.04,41.1,46.68,42.45,57.58,66.42,42.32,60.73,41.64,50.93,43.68,53.04,53.94,51.18,46.87,53.47,62.05,46.05,50.63,49.37,64.15,47.15,60.65,66.45,48.88,57.11,43.2,45.48,45.55,54.32,42.23
1922,-999.0,65.17,61.68,58.62,56.06,44.16,47.88,54.33,71.05,65.02,-999.0,48.98,40.77,52.97,52.86,54.63,57.2,67.8,46.7,54.36,39.59,44.2,40.89,55.67,65.4,39.25,59.55,39.33,48.62,41.99,51.42,53.19,48.02,44.93,51.62,60.61,44.32,48.93,48.04,63.47,43.73,59.43,65.33,46.27,55.58,41.34,44.22,43.22,52.83,39.12
1923,-999.0,63.42,60.74,57.86,56.37,43.23,46.77,53.93,70.07,63.8,-999.0,47.87,41.86,51.68,51.36,53.78,55.95,66.52,45.56,53.85,38.06,42.52,40.35,54.67,63.81,41.42,58.92,40.05,48.13,40.82,50.62,52.13,48.07,43.34,50.24,60.01,45.73,47.84,46.82,62.59,44.93,57.96,64.44,45.87,54.96,39.73,46.35,42.29,51.69,39.56
1924,-999.0,62.25,59.12,58.62,57.15,42.67,46.35,52.34,69.37,62.28,-999.0,45.08,41.78,49.23,48.95,51.93,53.88,65.84,45.28,52.03,38.67,40.83,37.67,52.35,62.99,39.56,57.26,37.72,45.82,40.67,49.38,52.25,48.93,42.38,48.07,58.35,45.62,46.02,46.68,61.23,42.19,56.2,63.59,46.19,53.14,39.76,45.95,39.48,49.6,38.71
1925,25.28,64.96,61.83,59.1,57.14,44.64,47.94,54.49,70.42,64.98,-999.0,47.52,44.09,51.78,51.59,54.61,56.38,67.36,46.73,53.96,38.81,42.65,39.79,55.04,65.13,42.17,59.56,40.1,48.73,41.64,51.08,53.19,49.99,44.04,50.12,60.88,47.44,47.78,48.31,63.72,44.97,59.28,65.53,47.43,55.26,40.72,47.75,41.97,51.93,41.5
1926,29.84,62.9,60.27,59.61,58.79,44.67,45.65,52.45,69.27,63.01,-999.0,47.07,44.18,50.37,50.02,54.11,54.77,66.17,44.33,52.19,37.13,40.76,38.79,53.79,63.53,42.49,58.44,40.17,48.91,39.32,48.88,52.5,51.52,41.68,48.81,59.27,48.11,46.15,45.9,62.38,45.04,57.38,63.97,48.6,53.99,38.2,47.86,40.18,50.48,41.38
1927,23.9,65.58,62.02,59.53,56.88,44.52,47.92,53.89,71.08,65.27,-999.0,47.6,42.17,51.98,51.95,53.84,56.49,68.69,47.15,53.7,40.22,43.33,38.56,54.96,66.01,38.62,59.43,37.5,47.6,42.59,50.89,53.93,49.81,44.52,50.83,60.56,45.76,48.35,48.55,63.63,42.65,59.32,66.38,47.72,55.19,41.55,45.14,41.57,52.22,39.71
1928,26.92,62.48,60.12,59.63,57.67,43.93,47.81,53.55,69.24,62.71,-999.0,48.2,42.34,51.41,50.56,53.97,54.72,65.84,46.79,53.33,39.3,42.79,40.52,54.39,63.2,41.24,58.07,40.66,48.53,42.28,50.82,52.68,50.01,44.36,49.89,59.92,46.52,47.91,48.12,61.88,45.23,57.03,64.52,47.72,54.26,41.29,46.43,42.25,50.78,39.9
1929,27.6,63.43,59.66,58.53,57.23,42.54,47.72,54.31,70.71,63.67,-999.0,45.2,40.83,49.9,49.9,52.18,55.01,66.11,46.78,53.83,39.26,41.61,37.54,52.82,63.56,38.83,58.55,37.3,46.29,42.01,51.3,51.68,49.23,44.13,49.28,58.48,45.09,47.9,48.08,62.36,42.12,57.41,63.96,46.35,54.71,40.94,44.42,39.94,51.2,38.43
1930,25.34,63.27,60.78,58.53,56.94,43.62,48.64,54.72,69.21,62.93,-999.0,48.96,41.58,52.55,52.03,54.41,56.44,66.12,47.77,54.46,40.65,44.15,41.19,55.15,63.83,41.58,58.56,40.77,48.82,43.0,51.69,52.21,48.73,45.23,51.22,59.98,45.37,48.77,49.51,62.12,45.55,58.08,64.17,46.18,55.3,42.21,45.18,43.38,51.88,40.07
1931,26.72,64.05,61.67,59.22,58.28,44.96,49.64,55.68,69.86,64.32,-999.0,52.02,42.63,54.88,54.21,56.27,57.77,66.62,48.66,55.54,42.06,47.03,45.03,57.22,64.34,43.78,59.62,44.17,51.32,44.11,53.26,52.46,50.22,46.73,52.92,61.22,46.84,50.38,50.03,63.35,48.67,59.32,64.72,47.56,56.38,43.17,46.5,47.02,53.46,41.77
1932,23.9,64.02,61.15,58.38,56.93,43.67,48.79,55.03,70.96,64.62,-999.0,47.03,40.89,52.05,51.86,53.55,56.62,66.8,47.6,54.73,40.88,44.08,39.57,54.88,64.25,40.46,59.97,39.39,47.73,43.16,52.24,51.64,48.06,45.38,51.32,59.68,45.57,49.2,49.2,63.88,43.96,58.69,63.88,45.91,56.03,42.27,45.48,42.17,52.75,39.21
1933,22.97,65.1,62.32,58.75,56.72,45.43,48.41,54.86,70.87,65.03,-999.0,49.52,42.51,53.61,53.21,56.66,57.39,68.51,47.07,54.59,39.59,44.25,40.42,56.52,65.88,42.02,60.47,40.61,50.63,42.3,51.86,52.93,48.72,45.33,52.02,62.02,46.04,49.25,48.48,64.27,46.68,59.53,66.58,47.18,56.31,41.7,45.43,43.18,52.88,41.95
