Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1895,-999.0,78.73,78.07,75.9,71.1,62.2,67.53,73.2,80.4,78.73,-999.0,70.9,60.33,73.57,73.37,73.93,74.77,80.77,66.63,73.0,62.5,65.63,64.7,74.53,79.7,59.97,75.33,63.33,69.4,64.03,70.97,68.9,68.23,65.97,71.83,78.73,59.97,68.4,67.37,78.97,66.97,75.6,79.9,66.5,73.1,63.3,60.7,66.7,70.57,58.9
1896,-999.0,80.27,80.93,77.9,73.23,65.57,67.6,73.13,81.2,79.97,-999.0,70.9,63.43,73.27,72.33,76.3,74.6,82.5,66.93,73.17,61.8,65.63,65.93,75.67,81.23,62.83,76.07,65.23,70.93,64.27,70.97,72.07,70.17,66.23,71.0,81.6,62.3,68.13,67.53,79.73,68.7,76.13,82.3,68.87,73.4,63.5,62.37,67.37,70.93,62.1
1897,-999.0,80.5,79.6,76.83,72.23,63.83,66.17,71.67,81.47,80.03,-999.0,70.4,61.53,73.0,72.03,76.2,74.63,81.87,65.37,71.63,60.5,64.23,64.73,75.53,81.1,62.03,75.67,64.6,70.3,62.97,69.37,70.23,68.5,64.9,70.33,79.77,60.77,66.87,65.83,79.53,67.63,76.2,81.13,66.67,73.4,62.77,61.2,65.67,70.6,60.93
1898,-999.0,79.73,79.0,78.8,72.53,65.07,68.97,74.8,80.83,79.63,-999.0,71.7,63.4,73.67,73.67,75.97,76.17,80.83,67.77,74.73,62.57,65.87,65.4,75.77,80.33,62.6,76.5,65.13,71.73,64.97,72.13,70.73,70.4,67.87,73.1,78.9,61.97,70.43,68.23,79.9,69.17,76.8,80.27,69.1,74.57,64.53,62.53,67.3,72.33,62.77
1899,-999.0,80.4,79.43,76.97,70.43,63.87,68.1,74.07,80.97,80.23,-999.0,72.03,59.7,74.2,74.27,76.2,76.23,82.03,67.57,74.07,62.0,66.13,66.23,76.2,81.2,60.5,76.5,64.83,71.37,64.33,71.5,70.87,66.77,67.17,72.73,80.3,58.4,69.5,68.1,80.43,68.9,77.43,81.87,66.47,74.77,64.0,59.17,67.63,71.9,60.47
1900,-999.0,79.1,78.8,77.37,71.33,65.03,69.47,75.97,81.0,79.77,-999.0,73.0,61.8,74.57,74.23,77.23,76.7,80.77,68.13,75.53,63.2,66.37,67.7,76.5,79.77,63.77,77.87,68.07,73.2,65.0,72.97,71.83,68.67,68.03,73.0,79.9,60.5,70.9,68.73,80.43,71.27,76.83,81.1,68.33,75.8,64.27,61.13,68.33,73.0,63.8
1901,-999.0,79.97,81.0,78.27,72.3,65.77,69.3,75.23,80.23,79.1,-999.0,75.6,61.7,76.57,75.67,79.73,77.03,82.17,68.3,74.6,63.2,67.43,67.9,80.2,81.2,62.17,76.07,66.43,74.4,65.8,72.73,71.73,68.43,68.37,73.77,82.53,60.5,70.63,68.67,79.1,71.2,77.4,83.17,68.73,74.27,65.27,59.87,69.23,72.5,62.73
1902,-999.0,82.2,79.17,77.53,71.17,64.17,65.5,72.4,81.27,80.67,-999.0,68.57,59.67,71.5,71.3,74.83,75.03,82.63,63.9,72.13,58.8,63.17,63.87,74.2,82.07,59.53,75.97,62.87,69.13,60.6,69.33,71.0,67.7,63.7,69.8,79.97,59.37,66.9,64.83,79.57,66.5,76.87,82.33,67.17,72.9,60.2,59.5,64.57,69.73,60.37
1903,-999.0,78.2,75.97,77.83,71.13,62.77,63.8,70.77,80.2,78.57,-999.0,68.3,61.47,70.8,70.23,73.03,73.3,79.17,62.73,70.33,58.2,62.47,62.87,72.77,78.47,61.07,74.6,63.67,68.43,59.53,67.67,70.03,68.03,62.23,69.1,77.2,60.33,65.67,63.5,78.13,67.07,74.2,78.77,67.83,71.57,59.4,61.03,63.57,68.9,60.9
1904,-999.0,78.43,76.73,76.77,72.17,61.9,66.47,71.7,79.33,78.2,-999.0,68.4,61.17,70.37,70.33,73.0,73.8,79.77,65.4,71.43,61.17,63.17,63.0,72.53,78.97,61.4,74.57,62.53,68.6,62.57,69.53,69.63,68.23,64.87,69.27,77.67,61.4,67.17,65.57,77.67,66.47,74.53,79.47,66.63,72.0,62.1,61.67,63.97,69.3,59.93
