Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1895,-999.0,63.57,59.9,59.57,57.97,44.37,49.87,55.93,71.13,64.17,-999.0,47.93,42.57,51.53,51.6,54.23,55.73,66.23,48.93,54.97,42.5,44.33,41.1,54.67,63.6,40.17,59.83,38.27,48.0,44.3,53.2,51.67,48.8,46.5,51.27,59.07,44.7,49.57,51.23,63.83,43.93,58.0,62.93,46.4,56.13,43.23,44.7,43.57,53.07,39.63
1896,-999.0,65.47,61.37,60.2,58.03,43.4,49.83,56.4,72.97,66.1,-999.0,43.77,41.13,50.8,51.5,51.63,56.37,68.07,48.93,55.8,41.83,42.67,36.03,53.77,64.87,34.9,60.57,32.23,43.2,44.57,53.27,53.0,49.83,46.9,51.13,58.97,44.8,50.07,50.97,64.83,37.6,59.03,64.17,46.43,56.9,44.03,43.47,40.23,53.77,37.07
1897,-999.0,65.63,63.73,60.33,57.37,47.27,49.9,56.63,71.4,65.4,-999.0,52.67,43.9,56.8,55.77,57.77,59.57,68.77,48.63,55.8,42.47,47.43,44.3,59.67,66.57,40.77,60.93,42.57,51.5,43.93,53.3,54.37,49.8,47.37,54.53,62.7,46.17,50.83,50.4,64.6,47.6,61.1,66.1,47.67,57.6,43.4,45.1,47.13,54.77,42.93
1898,-999.0,62.0,60.0,60.6,58.53,42.63,50.8,56.6,71.67,62.97,-999.0,47.27,40.97,52.2,52.7,52.23,56.63,65.3,50.13,55.97,44.2,46.17,40.63,54.47,62.3,38.67,59.53,38.27,45.67,45.87,53.9,52.4,48.7,48.47,52.77,58.87,45.53,51.0,52.07,62.53,42.67,58.2,63.63,45.47,56.5,45.1,45.67,44.77,53.3,38.87
1899,-999.0,64.7,63.03,61.7,59.03,46.73,49.5,55.9,71.93,64.77,-999.0,53.3,44.8,55.9,55.47,58.03,58.63,67.53,48.83,55.3,43.03,47.3,45.57,59.1,65.4,44.2,60.33,43.7,52.0,44.23,53.13,54.07,50.9,47.83,54.2,62.9,47.3,50.57,50.67,63.83,48.33,60.27,66.2,48.4,56.67,44.13,48.63,47.67,54.3,42.17
1900,-999.0,66.83,64.37,60.0,57.77,46.03,53.5,60.07,73.07,66.9,-999.0,51.43,42.27,56.07,56.77,56.53,60.73,70.53,51.9,59.8,45.5,49.1,43.97,58.47,67.37,40.27,63.23,39.97,50.37,47.83,57.13,54.4,48.6,50.93,56.27,63.1,45.87,54.43,53.7,66.53,46.0,62.37,67.17,47.1,60.4,47.2,45.0,47.27,57.53,41.43
1901,-999.0,61.2,61.1,62.07,59.33,47.23,48.53,54.13,69.33,61.5,-999.0,49.77,44.7,52.67,52.23,56.47,54.7,65.67,47.77,53.27,42.1,45.8,42.4,56.7,62.4,42.93,57.03,41.67,50.53,43.6,51.6,54.83,51.57,45.83,51.23,62.57,47.97,48.53,49.67,60.9,47.07,56.07,66.9,49.03,53.5,42.83,47.93,44.87,50.83,42.7
1902,-999.0,64.77,61.4,61.27,58.1,45.47,51.73,58.2,73.2,65.07,-999.0,50.03,43.0,54.77,55.4,54.9,59.3,68.23,50.17,57.2,44.57,47.37,42.53,56.7,65.37,41.1,61.13,40.27,49.33,46.1,55.17,53.33,49.77,49.17,54.93,60.43,46.37,52.4,52.23,64.53,45.6,60.07,66.23,47.8,57.9,45.43,46.47,46.03,55.43,41.23
1903,-999.0,62.33,58.7,61.2,59.53,45.27,49.1,54.8,69.7,62.6,-999.0,48.03,42.47,51.7,51.73,54.07,55.23,65.13,48.33,53.97,43.13,45.3,41.0,54.03,62.63,40.9,57.5,39.9,48.93,44.23,52.0,53.57,51.07,46.53,51.4,59.17,47.1,49.13,49.97,61.27,44.93,57.0,63.9,47.4,54.2,43.47,45.57,43.83,51.23,40.4
1904,-999.0,64.57,61.9,60.3,59.47,46.33,47.27,53.87,70.9,64.2,-999.0,51.37,46.5,53.7,52.73,56.83,56.63,67.73,46.03,53.43,39.77,45.73,44.53,56.93,65.17,45.6,57.9,44.67,51.8,41.07,50.73,52.97,51.0,44.53,51.93,62.33,49.33,48.8,47.77,62.17,49.27,58.2,65.37,48.33,54.73,39.93,49.27,46.1,52.5,44.07
